player_id,understat_player,player_code,match_score,matched_name,matched_from,team_norm
76,Fabian Schär,119471,1.03,Fabian Schär,full_name,newcastle
10126,James McAtee,432714,1.03,James McAtee,full_name,nott m forest
10527,Carlos Baleba,535301,1.03,Carlos Baleba,full_name,brighton
10405,Josh Dasilva,183656,1.03,Josh Dasilva,full_name,brentford
10348,Omari Hutchinson,503301,1.03,Omari Hutchinson,full_name,nott m forest
10292,Nathan Patterson,243571,1.03,Nathan Patterson,full_name,everton
10291,Vitalii Mykolenko,224967,1.03,Vitalii Mykolenko,full_name,everton
10216,Lewis Hall,487838,1.03,Lewis Hall,full_name,newcastle
10184,Archie Gray,547701,1.03,Archie Gray,full_name,spurs
10120,Conor Bradley,492777,1.03,Conor Bradley,full_name,liverpool
9790,Josko Gvardiol,477424,1.03,Joško Gvardiol,full_name,man city
10050,Micky van de Ven,491279,1.03,Micky van de Ven,full_name,spurs
10025,Lamare Bogarde,515597,1.03,Lamare Bogarde,full_name,aston villa
10024,Cristhian Mosquera,500040,1.03,Cristhian Mosquera,full_name,arsenal
10004,Romeo Lavia,514356,1.03,Roméo Lavia,full_name,chelsea
9983,Beto,486385,1.03,Norberto Bercique Gomes Betuncal,web_name,everton
9944,Gabriel Gudmundsson,243526,1.03,Gabriel Gudmundsson,full_name,leeds
9911,Piero Hincapié,448104,1.03,Piero Hincapié,full_name,arsenal
10542,Jamie Bynoe-Gittens,463936,1.03,Jamie Bynoe-Gittens,full_name,chelsea
10564,Leny Yoro,550864,1.03,Leny Yoro,full_name,man utd
10586,Tyler Dibling,496661,1.03,Tyler Dibling,full_name,everton
10696,Noussair Mazraoui,230001,1.03,Noussair Mazraoui,full_name,man utd
11070,Jørgen Strand Larsen,247412,1.03,Jørgen Strand Larsen,full_name,crystal palace
11003,Ryan Yates,204968,1.03,Ryan Yates,full_name,nott m forest
11000,Matheus Nunes,465351,1.03,Matheus Nunes,full_name,man city
10847,Rico Lewis,477064,1.03,Rico Lewis,full_name,man city
10822,Wilson Odobert,550839,1.03,Wilson Odobert,full_name,spurs
10809,Keane Lewis-Potter,249231,1.03,Keane Lewis-Potter,full_name,brentford
10802,Lisandro Martínez,221820,1.03,Lisandro Martínez,full_name,man utd
10764,Djed Spence,232859,1.03,Djed Spence,full_name,spurs
10760,Brennan Johnson,242898,1.03,Brennan Johnson,full_name,crystal palace
10751,Brenden Aaronson,427637,1.03,Brenden Aaronson,full_name,leeds
10747,James Hill,463981,1.03,James Hill,full_name,bournemouth
10744,Ryan Christie,158499,1.03,Ryan Christie,full_name,bournemouth
10741,Marcus Tavernier,201658,1.03,Marcus Tavernier,full_name,bournemouth
10721,Sepp van den Berg,444765,1.03,Sepp van den Berg,full_name,brentford
10697,Ryan Gravenberch,441266,1.03,Ryan Gravenberch,full_name,liverpool
9910,Anton Stach,466525,1.03,Anton Stach,full_name,leeds
9789,Brian Brobbey,441264,1.03,Brian Brobbey,full_name,sunderland
8640,Adrien Truffert,494521,1.03,Adrien Truffert,full_name,bournemouth
8920,Dilane Bakwa,476887,1.03,Dilane Bakwa,full_name,nott m forest
9017,Malo Gusto,482609,1.03,Malo Gusto,full_name,chelsea
8995,Hugo Ekitike,510663,1.03,Hugo Ekitiké,full_name,liverpool
8986,Omar Alderete,201895,1.03,Omar Alderete,full_name,sunderland
8981,Jéremy Doku,248875,1.03,Jérémy Doku,full_name,man city
87,Joelinton,180974,1.03,Joelinton Cássio Apolinário de Lira,web_name,newcastle
8941,Jacob Ramsey,232653,1.03,Jacob Ramsey,full_name,newcastle
8940,Antonee Robinson,169528,1.03,Antonee Robinson,full_name,fulham
8868,Liam Delap,463034,1.03,Liam Delap,full_name,chelsea
9788,Dominik Szoboszlai,424876,1.03,Dominik Szoboszlai,full_name,liverpool
8865,Ollie Watkins,178301,1.03,Ollie Watkins,full_name,aston villa
8859,Mikkel Damsgaard,440089,1.03,Mikkel Damsgaard,full_name,brentford
8853,Maxence Lacroix,437499,1.03,Maxence Lacroix,full_name,crystal palace
8720,Jack Harrison,221399,1.03,Jack Harrison,full_name,leeds
8706,Eberechi Eze,232413,1.03,Eberechi Eze,full_name,arsenal
8700,Xavi Simons,493362,1.03,Xavi Simons,full_name,spurs
8662,Dan Ndoye,456512,1.03,Dan Ndoye,full_name,nott m forest
9040,Conor Gallagher,232787,1.03,Conor Gallagher,full_name,spurs
