Shot_player_code,Shot_Player_name,date,opponent_team,own_team,avg_distance_m,avg_angle,big_chance_sum,Shot_conversion_sum,number_of_shots,xG_non_penalty,most_common_shotType,understat_player_id,time,position,Shot_conversion_sum_clip,big_chance_sum_clip,xG_non_penalty_clip,Shot_conversion_sum_ewm,Shot_conversion_sum_rm20,avg_distance_m_rm20,avg_angle_rm20,time_rm20,big_chance_sum_rm20,big_chance_rate_rm20,xG_np_sum_rm20,xG_np_rate_rm20,time_ewm,big_chance_sum_ewm,big_chance_rate_ewm,xG_np_sum_ewm,xG_np_rate_ewm,shotType_mode_last20
17761,James Tarkowski,2016-08-27,Chelsea,Burnley,13.056798019143114,0.3303661146952049,0,-0.0136184003204107,1,0.0136184003204107,Head,1665,17,Sub,-0.0136184003204107,0.0,0.0136184003204107,-0.0136184003204107,-0.0136184003204107,13.056798019143114,0.3303661146952049,20.0,0.0,0.0,0.0136184003204107,0.06128280144184815,20.0,0.0,0.0,0.0136184003204107,0.06128280144184815,
17761,James Tarkowski,2017-01-22,Arsenal,Burnley,24.905892184776768,0.4449916986461262,0,0.0,1,0.0255143009126186,LeftFoot,1665,13,Sub,0.0,0.0,0.0255143009126186,-0.012570831064994493,-0.00680920016020535,18.981345101959942,0.3876789066706655,40.0,0.0,0.0,0.039132701233029296,0.0880485777743159,20.0,0.0,0.0,0.014751343233954311,0.0663810445527944,
17761,James Tarkowski,2017-05-06,West Bromwich Albion,Burnley,11.50797989048572,0.8997393055263531,0,-0.0395759008824825,2,0.0867107994854449,Head,1665,90,DC,-0.0395759008824825,0.0,0.0867107994854449,-0.014648144127878187,-0.017731433734297735,16.490223364801867,0.5583657062892281,130.0,0.0,0.0,0.1258435007184742,0.08712242357432828,26.666666666666664,0.0,0.0,0.02160462478171532,0.07291560863828922,
17761,James Tarkowski,2017-05-21,West Ham,Burnley,5.289556446199686,1.5518192351473925,1,-0.4847739934921264,1,0.4847739934921264,Head,1665,90,DC,-0.4847739934921264,1.0,0.4847739934921264,-0.050811671002051126,-0.1344920736737549,13.690056635151322,0.8067290885037692,220.0,1.0,0.40909090909090906,0.6106174942106006,0.2497980658134275,32.698412698412696,0.09523809523809523,0.2621359223300971,0.0657159932303259,0.18087848622133393,
17761,James Tarkowski,2017-08-27,Spurs,Burnley,10.019159771207377,0.6014893452928279,0,-0.1521592028439043,3,0.1521592028439043,Head,1665,90,DC,-0.1521592028439043,0.0,0.1521592028439043,-0.05860763498988599,-0.13802549950778478,12.955877262362534,0.7656811398615809,310.0,1.0,0.2903225806451613,0.7627766970545049,0.22145129914485628,38.155706727135296,0.08616780045351473,0.20324881141045956,0.0739486798601905,0.1744268880933614,
17761,James Tarkowski,2017-10-30,Newcastle,Burnley,8.474813621643353,0.659564505464886,0,-0.1067407496273516,2,0.1168709993362425,Head,1665,90,DC,-0.1067407496273516,0.0,0.1168709993362425,-0.06231018226969104,-0.13281137452771258,12.20903332224267,0.7479950341287984,400.0,1.0,0.225,0.8796476963907474,0.19792073168791816,43.09325846740813,0.0779613432674657,0.1628217763894225,0.0780365198102907,0.1629787821275559,
17761,James Tarkowski,2017-11-18,Swansea,Burnley,12.329091066197629,0.7309097159587262,0,-0.0604986995458602,2,0.11626030132174481,Head,1665,90,DC,-0.0604986995458602,0.0,0.11626030132174481,-0.06217083744478098,-0.12248099238744796,12.22618442852195,0.7455542743902167,490.0,1.0,0.1836734693877551,0.9959079977124922,0.18292187713086588,47.560567184797826,0.07053645343246898,0.13347781964533342,0.0816768799542387,0.15455911548151421,
17761,James Tarkowski,2017-12-02,Leicester,Burnley,6.825338735834854,1.383091421608447,0,-0.1223649978637695,1,0.1223649978637695,Head,1665,90,DC,-0.1223649978637695,0.0,0.1223649978637695,-0.06680115747701088,-0.12246649307198815,11.551078716936063,0.8252464177924954,580.0,1.0,0.15517241379310345,1.1182729955762616,0.173525120003213,51.60241792910279,0.06381869596271003,0.11130646328501932,0.08555193880276545,0.14921150599624167,
17761,James Tarkowski,2017-12-12,Stoke,Burnley,13.928255281862436,0.5988541736663803,0,-0.0285001695156096,3,0.0646767690777777,Head,1665,90,DC,-0.0285001695156096,0.0,0.0646767690777777,-0.06385492763382616,-0.11202579045461275,11.815209446372327,0.8000917240007049,670.0,1.0,0.13432835820895522,1.1829497646540394,0.15890369972964707,55.25933050728348,0.05774072491864241,0.09404140793911481,0.08356382740038566,0.13609908764717,
17761,James Tarkowski,2017-12-16,Brighton,Burnley,8.613083885834055,1.108901817865163,0,0.0,1,0.0956879034638404,Head,1665,90,DC,0.0,0.0,0.0956879034638404,-0.05894301012353185,-0.10082321140915147,11.4949968903185,0.8309727333871507,760.0,1.0,0.11842105263157894,1.2786376681178797,0.1514176185929068,58.567965697066,0.052241608259724084,0.08027843698198835,0.08471850131119088,0.13018490615577488,
17761,James Tarkowski,2018-01-20,Man Utd,Burnley,11.56056308055858,0.6196634970689046,0,-0.0462007001042366,1,0.0462007001042366,Head,1665,90,DC,-0.0462007001042366,0.0,0.0462007001042366,-0.05796283242973991,-0.09585752856325014,11.500957453067597,0.8117628028127647,850.0,1.0,0.10588235294117646,1.3248383682221163,0.14027700369410642,61.5614927735359,0.04726621699689322,0.06910098079280308,0.08105013929148094,0.11849148237953473,
17761,James Tarkowski,2018-03-03,Everton,Burnley,11.804148619608249,0.8846874244318083,0,0.0,1,0.0459259003400802,Head,1665,90,DC,0.0,0.0,0.0459259003400802,-0.05350415301206761,-0.0878694011829793,11.526223383612653,0.8178398546143516,940.0,1.0,0.09574468085106383,1.3707642685621966,0.13124338741552946,64.26992203319915,0.04276467252099863,0.05988525277659022,0.07770497367706183,0.108813694021957,
17761,James Tarkowski,2018-04-22,Stoke,Burnley,10.279395803197463,0.6453350955280834,0,-0.0698868110775946,2,0.099838301539421,Head,1665,90,DC,-0.0698868110775946,0.0,0.099838301539421,-0.05476435747864661,-0.08648612502102662,11.43031356973456,0.8045702577615619,1030.0,1.0,0.08737864077669903,1.4706025701016177,0.12849925369819962,66.72040564908495,0.03869184656661781,0.05219192175345176,0.07981290966395319,0.10766064444415292,
17761,James Tarkowski,2018-05-13,Bournemouth,Burnley,11.474110557226945,0.5556080416318667,0,-0.029262380581349,2,0.033493100665509604,Head,1665,90,DC,-0.029262380581349,0.0,0.033493100665509604,-0.052802666948085254,-0.08239871470390679,11.433441925984017,0.7867872423237264,1120.0,1.0,0.08035714285714285,1.5040956707671271,0.12086483068664414,68.93750987298162,0.03500690879836849,0.0457025761107158,0.07540149928314903,0.09843893328881427,
17761,James Tarkowski,2018-08-12,Southampton,Burnley,9.42839642658728,0.9431747159946716,0,-0.0287677999585866,1,0.0287677999585866,Head,1665,90,DC,-0.0287677999585866,0.0,0.0287677999585866,-0.050953831025816125,-0.0788233203875521,11.299772226024233,0.7972130739017894,1210.0,1.0,0.0743801652892562,1.5328634707257138,0.11401463831844152,70.94346131365005,0.03167291748423816,0.04018076537002804,0.07096019458557165,0.09002122809410561,
17761,James Tarkowski,2018-08-19,Watford,Burnley,5.427472977684469,1.5939204576122266,0,0.920821599662304,1,0.079178400337696,Head,1665,90,DC,0.6,0.0,0.079178400337696,-0.0008804594084456524,-0.036396862863330104,10.932753523002999,0.8470072853836917,1300.0,1.0,0.06923076923076923,1.6120418710634097,0.11160289876592837,72.75836975996909,0.028656449152405953,0.03544719916382073,0.07174288084767873,0.08874386957256407,
