,goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup,player_name,team_title,element
0,0,1,0.3267530798912048,59,MC,Brighton,Manchester City,2,1,2024-11-09,26703,2024,686855,0.0,0,0,0,0.3267530798912048,0.3267530798912048,0.0,Jack Hinshelwood,Brighton,621
1,0,0,0.0,90,MC,Liverpool,Brighton,2,1,2024-11-02,26696,2024,685044,0.0,0,0,0,0.0,0.6374796032905579,0.6374796032905579,Jack Hinshelwood,Brighton,621
2,0,1,0.0107644936069846,90,MC,Newcastle United,Brighton,0,1,2024-10-19,26676,2024,681372,0.0,0,0,0,0.0107644936069846,0.4658628106117248,0.4658628106117248,Jack Hinshelwood,Brighton,621
3,0,1,0.0632697418332099,90,DMC,Brighton,Tottenham,3,2,2024-10-06,26671,2024,680424,0.0,0,0,0,0.0632697418332099,0.0632697418332099,0.0,Jack Hinshelwood,Brighton,621
4,0,0,0.0,90,MC,Chelsea,Brighton,4,2,2024-09-28,26657,2024,677915,0.0316722616553306,0,1,0,0.0,0.2480280697345733,0.2480280697345733,Jack Hinshelwood,Brighton,621
5,1,1,0.2966775298118591,90,DMC,Brighton,Nottingham Forest,2,2,2024-09-22,26650,2024,676304,0.0475309863686561,0,2,1,0.2966775298118591,0.3879209458827972,0.0734217390418052,Jack Hinshelwood,Brighton,621
6,0,0,0.0,71,DL,Brighton,Ipswich,0,0,2024-09-14,26633,2024,673645,0.0268742423504591,0,1,0,0.0,0.1084460690617561,0.1084460690617561,Jack Hinshelwood,Brighton,621
7,0,3,0.1429234594106674,90,DL,Arsenal,Brighton,1,1,2024-08-31,26622,2024,671526,0.0426068231463432,0,1,0,0.1429234594106674,0.573713481426239,0.5170839428901672,Jack Hinshelwood,Brighton,621
8,0,0,0.0,90,DL,Brighton,Manchester United,2,1,2024-08-24,26612,2024,667696,0.0296734496951103,0,1,0,0.0,0.2900694012641907,0.2900694012641907,Jack Hinshelwood,Brighton,621
9,0,0,0.0,90,DL,Everton,Brighton,0,3,2024-08-17,26605,2024,666343,0.0,0,0,0,0.0,0.2725262939929962,0.2725262939929962,Jack Hinshelwood,Brighton,621
10,1,1,0.1012022569775581,90,DMR,Brighton,Crystal Palace,4,1,2024-02-03,22118,2023,638544,0.0,0,0,1,0.1012022569775581,0.271480917930603,0.1702786535024643,Jack Hinshelwood,Brighton,621
11,0,0,0.0,71,Sub,Luton,Brighton,4,0,2024-01-30,22107,2023,637835,0.0,0,0,0,0.0,0.0530810691416263,0.0530810691416263,Jack Hinshelwood,Brighton,621
12,0,0,0.0,90,DR,Brighton,Wolverhampton Wanderers,0,0,2024-01-22,22095,2023,636490,0.0636078491806984,0,3,0,0.0,0.1633462011814117,0.1438614726066589,Jack Hinshelwood,Brighton,621
13,0,3,0.2238186299800872,90,DR,West Ham,Brighton,0,0,2024-01-02,22093,2023,633865,0.0667725354433059,0,1,0,0.2238186299800872,1.029305338859558,0.894977867603302,Jack Hinshelwood,Brighton,621
14,1,1,0.3345769047737121,90,DR,Brighton,Tottenham,4,2,2023-12-28,22078,2023,633152,0.0,0,0,1,0.3345769047737121,0.4323855638504028,0.0978086590766906,Jack Hinshelwood,Brighton,621
15,0,2,0.3897802531719208,77,DR,Crystal Palace,Brighton,1,1,2023-12-21,22066,2023,632256,0.0555912405252456,0,1,0,0.3897802531719208,0.5010027885437012,0.0556313060224056,Jack Hinshelwood,Brighton,621
16,0,2,0.1100304871797561,64,Sub,Arsenal,Brighton,2,0,2023-12-17,22056,2023,630789,0.0,0,0,0,0.1100304871797561,0.1392696946859359,0.0292392056435346,Jack Hinshelwood,Brighton,621
17,0,4,0.9112690687179564,29,Sub,Brighton,Burnley,1,1,2023-12-09,22046,2023,628703,0.0,0,0,0,0.9112690687179564,0.9412778615951538,0.0300088003277778,Jack Hinshelwood,Brighton,621
18,1,1,0.092943400144577,80,DR,Brighton,Brentford,2,1,2023-12-06,22036,2023,627993,0.5398766994476318,0,1,1,0.092943400144577,0.8735654950141907,0.8735654950141907,Jack Hinshelwood,Brighton,621
19,0,0,0.0,63,DL,Chelsea,Brighton,3,2,2023-12-03,22029,2023,627254,0.0,0,0,0,0.0,0.0,0.0,Jack Hinshelwood,Brighton,621
20,0,0,0.0,56,Sub,Nottingham Forest,Brighton,2,3,2023-11-25,22022,2023,624957,0.0,0,0,0,0.0,0.0,0.0,Jack Hinshelwood,Brighton,621
21,0,0,0.0,90,DMC,Aston Villa,Brighton,6,1,2023-09-30,21955,2023,614307,0.1124020814895629,0,2,0,0.0,0.4713628888130188,0.3589608073234558,Jack Hinshelwood,Brighton,621
22,0,0,0.0,1,Sub,Aston Villa,Brighton,2,1,2023-05-28,18573,2022,600878,0.0,0,0,0,0.0,0.0,0.0,Jack Hinshelwood,Brighton,621
23,0,1,0.3111464977264404,90,AML,Chelsea,Fulham,1,2,2024-12-26,26775,2024,696187,0.0,0,0,0,0.3111464977264404,0.4109719693660736,0.0998254716396331,Jadon Sancho,Manchester United,397
24,0,1,0.0564719215035438,90,AML,Everton,Chelsea,0,0,2024-12-22,26764,2024,695777,0.0298264734447002,0,1,0,0.0564719215035438,0.0862983986735344,0.0,Jadon Sancho,Manchester United,397
25,0,1,0.0626744031906127,90,AML,Chelsea,Brentford,2,1,2024-12-15,26757,2024,694598,0.7296637892723083,0,4,0,0.0626744031906127,0.8054659962654114,0.0758022144436836,Jadon Sancho,Manchester United,397
26,1,3,0.2992709875106811,90,AML,Tottenham,Chelsea,3,4,2024-12-08,26745,2024,693039,0.0539892092347145,0,2,1,0.2992709875106811,0.5727265477180481,0.2734555602073669,Jadon Sancho,Manchester United,397
27,1,1,0.1191418692469596,13,Sub,Southampton,Chelsea,1,5,2024-12-04,26741,2024,691475,0.0,0,0,1,0.1191418692469596,0.3156197965145111,0.1964779198169708,Jadon Sancho,Manchester United,397
28,0,2,0.1453498005867004,76,AML,Chelsea,Aston Villa,3,0,2024-12-01,26724,2024,690683,0.0,0,0,0,0.1453498005867004,0.2256523221731186,0.0803025215864181,Jadon Sancho,Manchester United,397
29,0,0,0.0,1,Sub,Leicester,Chelsea,1,2,2024-11-23,26719,2024,688104,0.0,0,0,0,0.0,0.0767723247408866,0.0767723247408866,Jadon Sancho,Manchester United,397
30,0,0,0.0,54,AML,Liverpool,Chelsea,2,1,2024-10-20,26679,2024,682207,0.0,0,0,0,0.0,0.0,0.0,Jadon Sancho,Manchester United,397
31,0,0,0.0,90,AML,Chelsea,Nottingham Forest,1,1,2024-10-06,26668,2024,680144,0.1996683031320572,0,3,0,0.0,0.2741763889789581,0.0745080783963203,Jadon Sancho,Manchester United,397
32,0,1,0.1047850474715232,79,AML,Chelsea,Brighton,4,2,2024-09-28,26657,2024,677901,0.1375078707933426,1,1,0,0.1047850474715232,0.8381798267364502,0.5958869457244873,Jadon Sancho,Manchester United,397
33,0,0,0.0,59,AML,West Ham,Chelsea,0,3,2024-09-21,26642,2024,675300,0.3482705950736999,1,2,0,0.0,0.7342430949211121,0.4721298217773437,Jadon Sancho,Manchester United,397
34,0,0,0.0,43,Sub,Bournemouth,Chelsea,0,1,2024-09-14,26639,2024,674175,0.5189995765686035,1,2,0,0.0,0.5189995765686035,0.0,Jadon Sancho,Manchester United,397
35,0,1,0.0682686641812324,74,FWR,Borussia Dortmund,Darmstadt,4,0,2024-05-18,23362,2023,662497,0.7509292960166931,1,5,0,0.0682686641812324,0.8963167071342468,0.6473543047904968,Jadon Sancho,Manchester United,397
36,0,0,0.0,43,Sub,Mainz 05,Borussia Dortmund,3,0,2024-05-11,23356,2023,660867,0.0,0,0,0,0.0,0.0,0.0,Jadon Sancho,Manchester United,397
37,1,1,0.0292164850980043,90,ML,RasenBallsport Leipzig,Borussia Dortmund,4,1,2024-04-27,23336,2023,656887,0.4390847682952881,0,3,1,0.0292164850980043,0.5130410194396973,0.1822045594453811,Jadon Sancho,Manchester United,397
38,0,0,0.0,73,MR,Borussia Dortmund,Bayer Leverkusen,1,1,2024-04-21,23326,2023,655661,0.0,0,0,0,0.0,0.2138837128877639,0.2138837128877639,Jadon Sancho,Manchester United,397
39,0,1,0.0610634833574295,90,FWR,Borussia Dortmund,VfB Stuttgart,0,1,2024-04-06,23308,2023,651931,0.8676334619522095,0,7,0,0.0610634833574295,1.1581286191940308,0.9786337614059448,Jadon Sancho,Manchester United,397
40,0,0,0.0,87,FWR,Bayern Munich,Borussia Dortmund,0,2,2024-03-30,23299,2023,650099,0.0852654427289962,0,1,0,0.0,0.6599025726318359,0.5746371150016785,Jadon Sancho,Manchester United,397
41,1,1,0.2979470193386078,76,AMR,Werder Bremen,Borussia Dortmund,1,2,2024-03-09,23286,2023,646861,0.0,0,0,1,0.2979470193386078,0.3541603684425354,0.0562133528292179,Jadon Sancho,Manchester United,397
42,0,1,0.0600001662969589,90,AMR,Union Berlin,Borussia Dortmund,0,2,2024-03-02,23272,2023,644802,0.0745322927832603,0,1,0,0.0600001662969589,0.1345324516296386,0.0,Jadon Sancho,Manchester United,397
43,0,0,0.0,77,AMR,Borussia Dortmund,Hoffenheim,2,3,2024-02-25,23270,2023,643956,0.1826623827219009,0,3,0,0.0,0.2423507571220398,0.2423507571220398,Jadon Sancho,Manchester United,397
