,id,title,h_a,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,ppda,ppda_allowed
0,71,Aston Villa,a,1.486,4.32208,1.486,4.32208,6,9,1,5,0.1709,l,2023-08-12 16:30:00,0,0,1,0,-2.83608,324,28,255,17,11.571428571428571,15.0
1,71,Aston Villa,h,3.24336,0.721465,2.48219,0.721465,13,2,4,0,2.8068999999999997,w,2023-08-20 13:00:00,1,0,0,3,1.760725,204,12,385,23,17.0,16.73913043478261
2,71,Aston Villa,a,2.83691,0.630605,2.83691,0.630605,9,8,3,1,2.7695000000000003,w,2023-08-27 13:00:00,1,0,0,3,2.206305,365,15,254,31,24.333333333333332,8.193548387096774
3,71,Aston Villa,a,0.615503,2.73138,0.615503,2.73138,3,11,0,3,0.1952,l,2023-09-03 13:00:00,0,0,1,0,-2.1158770000000002,543,8,248,29,67.875,8.551724137931034
4,71,Aston Villa,h,2.31518,1.11696,1.55401,1.11696,14,7,3,1,2.2635,w,2023-09-16 14:00:00,1,0,0,3,0.43704999999999994,141,31,286,30,4.548387096774194,9.533333333333333
5,71,Aston Villa,a,1.13479,1.19716,1.13479,1.19716,6,8,1,0,1.2832000000000001,w,2023-09-24 13:00:00,1,0,0,3,-0.062370000000000037,283,13,221,25,21.76923076923077,8.84
6,71,Aston Villa,h,1.90746,1.72819,1.90746,1.72819,15,11,6,1,1.4983,w,2023-09-30 11:30:00,1,0,0,3,0.17927000000000004,321,33,146,34,9.727272727272727,4.294117647058823
7,71,Aston Villa,a,1.81618,1.76232,1.81618,1.76232,9,3,1,1,1.3806000000000003,d,2023-10-08 13:00:00,0,1,0,1,0.0538599999999998,223,15,239,21,14.866666666666667,11.380952380952381
8,71,Aston Villa,h,2.34143,0.659622,1.58026,0.659622,9,4,4,1,2.5745999999999998,w,2023-10-22 15:30:00,1,0,0,3,0.920638,201,17,274,19,11.823529411764707,14.421052631578947
9,71,Aston Villa,h,3.07654,0.453117,3.07654,0.453117,15,2,3,1,2.8714,w,2023-10-29 14:00:00,1,0,0,3,2.623423,134,10,419,17,13.4,24.647058823529413
10,71,Aston Villa,a,1.33116,0.592447,1.33116,0.592447,23,3,0,2,1.9666000000000001,l,2023-11-05 14:00:00,0,0,1,0,0.738713,137,19,326,12,7.2105263157894735,27.166666666666668
