,code,draw,form,id,loss,name,played,points,position,short_name,strength,team_division,unavailable,win,XGH,XGCH,XGA,XGCA
0,3,0,,1,0,Arsenal,0,0,0,ARS,5,,False,0,1.4676458333333335,0.9473958333333334,1.5254583333333334,0.8589583333333333
1,7,0,,2,0,Aston Villa,0,0,0,AVL,4,,False,0,1.6651875,1.1070416666666667,1.4926875,1.1967291666666666
2,91,0,,3,0,Bournemouth,0,0,0,BOU,3,,False,0,1.230375,1.3399375,1.4985,1.3568125
3,94,0,,4,0,Brentford,0,0,0,BRE,3,,False,0,1.5699583333333333,1.3854166666666667,1.5693333333333332,0.9801041666666667
4,36,0,,5,0,Brighton,0,0,0,BHA,3,,False,0,1.8021041666666666,1.4765208333333333,1.7199166666666668,1.4849583333333332
5,8,0,,6,0,Chelsea,0,0,0,CHE,3,,False,0,1.4545,0.8298333333333333,1.0745,1.2785833333333332
6,31,0,,7,0,Crystal Palace,0,0,0,CRY,3,,False,0,1.7497291666666666,1.167125,1.7084791666666665,1.2693125
7,11,0,,8,0,Everton,0,0,0,EVE,3,,False,0,1.4847291666666669,1.0949375,1.1847291666666666,1.0436874999999999
8,54,0,,9,0,Fulham,0,0,0,FUL,3,,False,0,1.2006041666666667,1.329041666666667,1.2749791666666668,1.3877916666666668
9,40,0,,10,0,Ipswich,0,0,0,IPS,2,,False,0,0.8333333333333333,2.2394583333333333,1.0205208333333333,1.9882083333333331
10,13,0,,11,0,Leicester,0,0,0,LEI,2,,False,0,0.6427083333333333,1.8539999999999996,0.7320833333333333,1.9930624999999997
11,14,0,,12,0,Liverpool,0,0,0,LIV,4,,False,0,2.1644791666666667,1.0582708333333333,1.8538541666666668,1.3317083333333333
12,43,0,,13,0,Man City,0,0,0,MCI,5,,False,0,1.7878958333333332,1.0126249999999999,1.5435208333333335,1.006375
13,1,0,,14,0,Man Utd,0,0,0,MUN,3,,False,0,1.1427083333333332,1.4434166666666668,1.1361458333333334,1.5281041666666666
14,4,0,,15,0,Newcastle,0,0,0,NEW,3,,False,0,2.0077291666666666,1.319604166666667,1.6092916666666666,1.3121041666666668
15,17,0,,16,0,Nott'm Forest,0,0,0,NFO,3,,False,0,1.2933124999999999,1.3034791666666665,1.3945625,1.8603541666666665
16,20,0,,17,0,Southampton,0,0,0,SOU,2,,False,0,0.6446041666666666,2.1312083333333334,0.7583541666666667,2.2283958333333334
17,6,0,,18,0,Spurs,0,0,0,TOT,4,,False,0,1.2639166666666668,1.6754166666666666,1.141729166666667,1.7082291666666667
18,21,0,,19,0,West Ham,0,0,0,WHU,3,,False,0,0.909875,1.2688541666666668,1.0770624999999998,1.3019791666666667
19,39,0,,20,0,Wolves,0,0,0,WOL,3,,False,0,1.3512916666666666,1.1759791666666666,1.2762916666666666,1.3244166666666666
