,fixture_code,GW,pred,team_name,team_code,XG,XGC,CS,Opposition_XG,Opposition_XGC,Opponent_team,Home,Draw_percent,Loss_percent,Win_Percent,own_XG_avg,own_XGC_avg,own_H_Att_E,own_H_def_E,opponent_XG_avg,opponent_XGC_avg,opponent_H_Att_E,opponent_H_def_E
0,2645195,1,1,Arsenal,3,2.1172021057686323,0.7404873380804559,0.4895489010314413,1.0682541308528646,1.5267941996893026,Coventry City,H,19.86875,11.383375,68.747875,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806
1,2645196,1,1,Brentford,94,1.614472658869026,1.3105064117984366,0.2240505105381706,1.367509250372866,1.3621329842984389,Spurs,H,26.868625,32.366625,40.76475000000001,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049,1.398330294292243,1.412231398042984,0.036934535717764505,0.04040506397281873
2,2645197,1,1,Everton,11,1.3937243328549729,1.2389017278751653,0.2807456891194545,1.1892362092840978,1.4027161084207012,Crystal Palace,H,29.163,33.0965,37.7405,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615
3,2645198,1,1,Hull City,88,1.0202700646322096,1.694698851368354,0.1424358007446608,1.3425018040248595,1.281280813144545,Man Utd,H,22.0975,59.88549999999999,18.017,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258,1.5556131196362857,1.2719410605872503,0.14327094413352848,-0.018633027625698184
4,2645199,1,1,Ipswich Town,40,1.0397745087703163,1.5754131147870671,0.2021501530463606,0.9679721480376764,1.438290831255319,Sunderland,H,26.8855,53.537,19.5775,0.9002439633623701,1.8644118786961217,-0.07546992107574996,0.024310462736118255,1.060991532456045,1.4010067806183204,0.012030209587008012,-0.07869706620149264
5,2645200,1,1,Nott'm Forest,17,1.4787310097516175,1.1979666958378203,0.2767407550135695,1.1849909168881,1.566149051204209,Leeds,H,28.965,29.8835,41.1515,1.2580469564270338,1.3598256349548674,-0.028085950353334055,-0.11305593881675868,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479
6,2645201,1,1,Brighton,36,1.5857651597913462,1.141257713574972,0.2881934046600807,1.2090324872268785,1.4264298803799076,Aston Villa,H,27.997125,27.786625,44.21625,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338
7,2645202,1,1,Man City,43,2.1062459423266064,1.1467421297170866,0.3104107403182136,1.4745902057966431,1.5948490921309688,Bournemouth,H,25.136250000000004,19.87025,54.9935,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797
8,2645203,1,1,Newcastle,4,1.4998536414101178,1.6596102785904154,0.1773570174631636,1.6651097112958564,1.1888767771664248,Liverpool,H,27.880000000000003,47.08025,25.03975,1.5004934275104749,1.4526972750992466,0.20642801083095863,0.06390876108922439,1.6905446682075116,1.1658247916884383,0.037294393638776624,-0.07950036687651985
9,2645204,1,1,Fulham,54,1.345392932897455,1.3561986247664706,0.2057902204342901,1.5348038491084466,1.2409596902515267,Chelsea,H,27.549,45.35525,27.09575,1.259638700118091,1.33537048507974,0.030313810626559246,-0.08585497383656815,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556
10,2645205,2,2,Bournemouth,91,1.6747040271003413,1.1498595401387508,0.3078123271213732,1.085810201739927,1.4188874554877744,Everton,H,27.6965,27.46375,44.83975,1.485315776713592,1.404593255612816,-0.03540311341675795,-0.20813190400868797,1.1965936157693842,1.4048050581311702,0.039133181495023095,-0.06539954554238459
11,2645206,2,2,Aston Villa,7,1.1627374403097084,1.5230276938643492,0.2057651188676002,1.608715548567584,0.8443855486789447,Arsenal,H,26.391625,52.941875,20.6665,1.3865122107727208,1.351018843326437,0.1208132216542307,-0.10937332654436338,1.6364172115891495,0.8399472693468595,-0.00028906919966165123,-0.044146800965827515
12,2645207,2,2,Chelsea,8,1.5903770254446437,1.3057441288122718,0.2501761113352657,1.3956869328119723,1.2952140645211,Brighton,H,27.256875,31.305875,41.43725,1.6023839768411388,1.2486298611633273,0.05092406398048466,-0.035186057692561556,1.4435611460286095,1.2382202869960297,0.00938918928332455,-0.0674828537579778
13,2645208,2,2,Coventry City,9,1.6051867175324117,1.2116075052659503,0.2941821894989376,1.0682541308528646,1.5267941996893026,Hull City,H,28.165125000000003,29.82175,42.013125,0.9906606735041694,1.7793203223929634,0.022320988384103402,-0.035862057606697806,0.8915946061537525,2.046218370751908,0.02008888954569299,-0.04124136624770258
14,2645209,2,2,Crystal Palace,31,1.1583478353814114,1.7969535431893453,0.1496919178797211,1.7723642857086643,1.1123004403755063,Man City,H,23.314,58.3,18.391,1.245452850996151,1.4118279802428364,0.030286766607416915,-0.04385767727787615,1.8447346579212325,1.0917143277263412,0.019238393144514254,-0.06490275669395545
15,2645210,2,2,Leeds,2,1.4712090852790554,1.3959953010415167,0.2234580645550176,1.2260841536364542,1.4468513166814645,Brentford,H,30.754625,36.17675,33.073625,1.3057770463672596,1.464828154955399,0.05445325701024806,-0.10160188973436479,1.4331572898289986,1.4377185555570589,0.16598795892097973,-0.03805161582445049
