,expected_goals,total_points,position,Full_Name,web_name,round,goals_scored,minutes,assists,clean_sheets,goals_conceded,yellow_cards,saves,bonus,defensive_contribution,expected_assists,expected_goal_involvements,expected_goals_conceded,value,GW,GOALS-XG,Assist-XA,defcon_hit,Type
0,0.0,10.0,GKP,David_Raya Martin,Raya,1.0,0.0,90.0,0.0,1.0,0.0,1.0,7.0,3.0,0.0,0.0,0.0,1.52,55.0,1,0.0,0.0,0,Players
4,0.0,6.0,DEF,Gabriel_dos Santos Magalhães,Gabriel,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.52,60.0,1,0.0,0.0,0,Players
5,0.0,9.0,DEF,William_Saliba,Saliba,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,1.52,60.0,1,0.0,0.0,1,Players
6,0.91,13.0,DEF,Riccardo_Calafiori,Calafiori,1.0,1.0,71.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,0.01,0.92,0.87,55.0,1,0.08999999999999997,-0.01,0,Players
7,0.0,0.0,DEF,Jurriën_Timber,J.Timber,1.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.66,55.0,1,0.0,0.0,0,Players
9,0.0,0.0,DEF,Myles_Lewis-Skelly,Lewis-Skelly,1.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.66,55.0,1,0.0,0.0,0,Players
10,0.01,6.0,DEF,Benjamin_White,White,1.0,0.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.01,0.02,0.87,55.0,1,-0.01,-0.01,0,Players
15,0.15,3.0,MID,Bukayo_Saka,Saka,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.09,0.24,1.52,100.0,1,-0.15,-0.09,0,Players
16,0.09,5.0,MID,Martin_Ødegaard,Ødegaard,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.29,0.38,1.52,80.0,1,-0.09,-0.29,1,Players
17,0.0,1.0,MID,Noni_Madueke,Madueke,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.82,70.0,1,0.0,-0.02,0,Players
18,0.02,1.0,MID,Gabriel_Martinelli Silva,Martinelli,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.01,0.03,0.7,70.0,1,-0.02,-0.01,0,Players
20,0.13,6.0,MID,Declan_Rice,Rice,1.0,0.0,82.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.01,0.14,1.04,65.0,1,-0.13,0.99,0,Players
21,0.0,1.0,MID,Mikel_Merino Zazón,Merino,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.49,60.0,1,0.0,0.0,0,Players
25,0.0,5.0,MID,Martín_Zubimendi Ibáñez,Zubimendi,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.01,0.01,1.52,55.0,1,0.0,-0.01,1,Players
29,0.0,1.0,FWD,Kai_Havertz,Havertz,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.01,0.01,0.82,75.0,1,0.0,-0.01,0,Players
32,0.0,1.0,FWD,Viktor_Gyökeres,Gyökeres,1.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,0.06,0.7,90.0,1,0.0,-0.06,0,Players
34,0.0,7.0,GKP,Marco_Bizot,M.Bizot,1.0,0.0,90.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.43,45.0,1,0.0,0.0,0,Players
37,0.0,8.0,DEF,Matty_Cash,Cash,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.43,45.0,1,0.0,0.0,1,Players
38,0.0,6.0,DEF,Lucas_Digne,Digne,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.01,0.01,1.43,45.0,1,0.0,-0.01,0,Players
39,0.0,3.0,DEF,Ezri_Konsa Ngoyo,Konsa,1.0,0.0,65.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.01,0.01,1.11,45.0,1,0.0,-0.01,0,Players
41,0.0,6.0,DEF,Tyrone_Mings,Mings,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.43,45.0,1,0.0,0.0,0,Players
48,0.0,3.0,MID,Morgan_Rogers,Rogers,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.05,0.05,1.43,70.0,1,0.0,-0.05,0,Players
49,0.0,3.0,MID,Youri_Tielemans,Tielemans,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.01,0.01,1.43,60.0,1,0.0,-0.01,0,Players
54,0.03,1.0,MID,Donyell_Malen,Malen,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,55.0,1,-0.03,0.0,0,Players
55,0.0,3.0,MID,John_McGinn,McGinn,1.0,0.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.09,0.09,1.33,55.0,1,0.0,-0.09,0,Players
59,0.05,2.0,MID,Boubacar_Kamara,Kamara,1.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,11.0,0.03,0.08,1.43,50.0,1,-0.05,-0.03,0,Players
60,0.0,5.0,MID,Amadou_Onana,Onana,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,14.0,0.01,0.01,1.43,50.0,1,0.0,-0.01,1,Players
65,0.12,2.0,FWD,Ollie_Watkins,Watkins,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.01,0.13,1.43,90.0,1,-0.12,-0.01,0,Players
73,0.01,1.0,DEF,Kyle_Walker,Walker,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.02,0.03,2.32,45.0,1,-0.01,-0.02,0,Players
76,0.0,1.0,DEF,Hjalmar_Ekdal,Ekdal,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.32,40.0,1,0.0,0.0,0,Players
77,0.05,1.0,DEF,Maxime_Estève,Estève,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.05,2.32,40.0,1,-0.05,0.0,0,Players
78,0.0,1.0,DEF,Quilindschy_Hartman,Hartman,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.04,0.04,2.32,40.0,1,0.0,-0.04,0,Players
83,0.03,1.0,DEF,Oliver_Sonne,Sonne,1.0,0.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.08,0.11,2.09,40.0,1,-0.03,-0.08,0,Players
86,0.44,2.0,MID,Jaidon_Anthony,Anthony,1.0,0.0,84.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.36,0.8,2.32,55.0,1,-0.44,-0.36,0,Players
88,0.0,1.0,MID,Jacob_Bruun Larsen,Bruun Larsen,1.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.01,0.01,0.91,55.0,1,0.0,-0.01,0,Players
91,0.0,4.0,MID,Josh_Cullen,Cullen,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,0.28,0.28,2.32,50.0,1,0.0,-0.28,1,Players
92,0.0,1.0,MID,Marcus_Edwards,Edwards,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1,0.0,0.0,0,Players
93,0.03,2.0,MID,Hannibal_Mejbri,Hannibal,1.0,0.0,62.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.01,0.04,1.41,50.0,1,-0.03,-0.01,0,Players
95,0.11,2.0,MID,Josh_Laurent,Laurent,1.0,0.0,62.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.13,0.24,1.41,50.0,1,-0.11,-0.13,0,Players
96,0.0,1.0,MID,Loum_Tchaouna,Tchaouna,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.01,0.01,0.23,50.0,1,0.0,-0.01,0,Players
101,0.0,1.0,FWD,Zian_Flemming,Flemming,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,55.0,1,0.0,0.0,0,Players
103,0.22,2.0,FWD,Lyle_Foster,Foster,1.0,0.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.04,0.26,2.09,50.0,1,-0.22,-0.04,0,Players
106,0.0,2.0,GKP,Martin_Dúbravka,Dúbravka,1.0,0.0,90.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.32,40.0,1,0.0,0.0,0,Players
107,0.05,1.0,MID,Lesley_Ugochukwu,Ugochukwu,1.0,0.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.05,0.91,50.0,1,-0.05,0.0,0,Players
110,0.0,2.0,GKP,Đorđe_Petrović,Petrović,1.0,0.0,90.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,2.21,45.0,1,0.0,0.0,0,Players
115,0.0,2.0,DEF,Marcos_Senesi,Senesi,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,15.0,0.05,0.05,2.21,45.0,1,0.0,-0.05,1,Players
116,0.0,1.0,DEF,Adam_Smith,Smith,1.0,0.0,89.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.08,0.08,2.1,45.0,1,0.0,-0.08,0,Players
117,0.0,0.0,DEF,Adrien_Truffert,Truffert,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.13,0.13,2.21,45.0,1,0.0,-0.13,0,Players
120,0.0,1.0,DEF,James_Hill,Hill,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,40.0,1,0.0,0.0,0,Players
125,0.91,15.0,MID,Antoine_Semenyo,Semenyo,1.0,2.0,90.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,0.02,0.93,2.21,70.0,1,1.0899999999999999,-0.02,0,Players
126,0.32,4.0,MID,Marcus_Tavernier,Tavernier,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,0.06,0.38,2.21,55.0,1,-0.32,-0.06,1,Players
127,0.0,4.0,MID,Tyler_Adams,Adams,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,19.0,0.1,0.1,2.1,50.0,1,0.0,-0.1,1,Players
128,0.19,4.0,MID,David_Brooks,Brooks,1.0,0.0,83.0,1.0,0.0,2.0,1.0,0.0,0.0,7.0,0.19,0.38,1.9,50.0,1,-0.19,0.81,0,Players
132,0.0,2.0,MID,Alex_Scott,Scott,1.0,0.0,73.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.81,50.0,1,0.0,0.0,0,Players
135,0.0,4.0,MID,Hamed_Traorè,H.Traorè,1.0,0.0,16.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.4,45.0,1,0.0,1.0,0,Players
138,0.0,1.0,MID,Ben_Winterburn,Winterburn,1.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,45.0,1,0.0,0.0,0,Players
139,0.29,1.0,FWD,Francisco_Evanilson de Lima Barbosa,Evanilson,1.0,0.0,90.0,0.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.29,2.21,70.0,1,-0.29,0.0,0,Players
142,0.0,1.0,FWD,Eli Junior_Kroupi,,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,45.0,1,0.0,0.0,0,Players
143,0.0,0.0,DEF,Bafodé_Diakité,Diakité,1.0,0.0,90.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,2.21,45.0,1,0.0,0.0,0,Players
146,0.0,1.0,GKP,Caoimhín_Kelleher,Kelleher,1.0,0.0,90.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.86,45.0,1,0.0,0.0,0,Players
151,0.02,0.0,DEF,Nathan_Collins,Collins,1.0,0.0,90.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0,0.0,0.02,1.86,50.0,1,-0.02,0.0,0,Players
152,0.12,1.0,DEF,Keane_Lewis-Potter,Lewis-Potter,1.0,0.0,68.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,0.12,1.86,50.0,1,-0.12,0.0,0,Players
154,0.0,1.0,DEF,Rico_Henry,Henry,1.0,0.0,87.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.04,0.04,1.86,45.0,1,0.0,-0.04,0,Players
155,0.0,1.0,DEF,Michael_Kayode,Kayode,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,0.08,0.08,1.86,45.0,1,0.0,-0.08,0,Players
158,0.21,3.0,DEF,Sepp_van den Berg,Van den Berg,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.21,1.86,45.0,1,-0.21,0.0,1,Players
161,0.0,0.0,DEF,Aaron_Hickey,Hickey,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,1,0.0,0.0,0,Players
164,0.0,1.0,MID,Kevin_Schade,Schade,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.04,0.04,0.37,70.0,1,0.0,-0.04,0,Players
166,0.0,1.0,MID,Antoni_Milambo,Milambo,1.0,0.0,45.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.01,0.01,1.49,55.0,1,0.0,-0.01,0,Players
167,0.03,2.0,MID,Fábio_Freitas Gouveia Carvalho,Carvalho,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,7.0,0.03,0.06,1.86,50.0,1,-0.03,-0.03,0,Players
168,0.0,1.0,MID,Jordan_Henderson,Henderson,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,50.0,1,0.0,0.0,0,Players
170,0.13,2.0,MID,Mathias_Jensen,Jensen,1.0,0.0,68.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,0.03,0.16,1.86,50.0,1,-0.13,-0.03,0,Players
172,0.0,4.0,MID,Frank_Onyeka,Onyeka,1.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,1,0.0,1.0,0,Players
173,0.08,2.0,MID,Yehor_Yarmoliuk,Yarmoliuk,1.0,0.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.01,0.09,1.86,50.0,1,-0.08,-0.01,0,Players
180,0.91,6.0,FWD,Igor Thiago_Nascimento Rodrigues,,1.0,1.0,90.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.01,0.92,1.86,60.0,1,0.08999999999999997,-0.01,0,Players
183,0.0,2.0,GKP,Bart_Verbruggen,Verbruggen,1.0,0.0,90.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.76,45.0,1,0.0,0.0,0,Players
189,0.0,2.0,DEF,Maxim_De Cuyper,De Cuyper,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.09,0.09,0.76,45.0,1,0.0,-0.09,0,Players
190,0.09,2.0,DEF,Lewis_Dunk,Dunk,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.09,0.76,45.0,1,-0.09,0.0,0,Players
192,0.0,0.0,DEF,Ferdi_Kadıoğlu,F.Kadıoğlu,1.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.24,45.0,1,0.0,0.0,0,Players
195,0.0,2.0,DEF,Jan Paul_van Hecke,,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.13,0.13,0.76,45.0,1,0.0,-0.13,0,Players
201,0.07,2.0,MID,Mitoma_Kaoru,Mitoma,1.0,0.0,82.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04,0.11,0.52,65.0,1,-0.07,-0.04,0,Players
202,0.07,6.0,MID,Georginio_Rutter,Georginio,1.0,0.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.07,0.52,60.0,1,-0.07,1.0,0,Players
204,0.09,3.0,MID,Yankuba_Minteh,Minteh,1.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.02,0.11,0.52,60.0,1,-0.09,-0.02,0,Players
206,0.31,1.0,MID,Brajan_Gruda,Gruda,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.31,0.24,55.0,1,-0.31,0.0,0,Players
208,0.79,10.0,MID,Matt_O'Riley,O'Riley,1.0,1.0,87.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.14,0.93,0.52,55.0,1,0.20999999999999996,-0.14,0,Players
210,0.0,3.0,MID,Yasin_Ayari,Ayari,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,1.0,10.0,0.12,0.12,0.76,50.0,1,0.0,-0.12,0,Players
211,0.02,3.0,MID,Carlos_Baleba,Baleba,1.0,0.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.01,0.03,0.52,50.0,1,-0.02,-0.01,0,Players
213,0.03,0.0,MID,Diego_Gómez Amarilla,Gomez,1.0,0.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.03,0.06,0.24,50.0,1,-0.03,-0.03,0,Players
214,0.0,1.0,MID,James_Milner,Milner,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,50.0,1,0.0,0.0,0,Players
217,0.02,4.0,MID,Mats_Wieffer,Wieffer,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.02,0.04,0.76,50.0,1,-0.02,-0.02,1,Players
222,0.0,1.0,FWD,Danny_Welbeck,Welbeck,1.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,65.0,1,0.0,0.0,0,Players
226,0.0,8.0,GKP,Robert_Sánchez,Sánchez,1.0,0.0,90.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.66,50.0,1,0.0,0.0,0,Players
230,0.11,8.0,DEF,Marc_Cucurella Saseta,Cucurella,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.1,0.21,0.66,60.0,1,-0.11,-0.1,0,Players
231,0.0,5.0,DEF,Reece_James,James,1.0,0.0,78.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.19,0.19,0.61,55.0,1,0.0,-0.19,0,Players
232,0.09,6.0,DEF,Trevoh_Chalobah,Chalobah,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.03,0.12,0.66,50.0,1,-0.09,-0.03,0,Players
234,0.02,1.0,DEF,Malo_Gusto,Gusto,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,50.0,1,-0.02,0.0,0,Players
239,0.09,9.0,DEF,Josh_Acheampong,Acheampong,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,3.0,8.0,0.01,0.1,0.66,40.0,1,-0.09,-0.01,0,Players
241,0.17,3.0,MID,Cole_Palmer,Palmer,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.03,0.2,0.66,105.0,1,-0.17,-0.03,0,Players
242,0.03,3.0,MID,Pedro_Lomba Neto,Neto,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.36,0.39,0.66,70.0,1,-0.03,-0.36,0,Players
243,0.0,3.0,MID,Enzo_Fernández,Enzo,1.0,0.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.61,65.0,1,0.0,-0.1,0,Players
244,0.34,0.0,MID,Estêvão_Almeida de Oliveira Gonçalves,Estêvão,1.0,0.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.37,0.71,0.07,65.0,1,-0.34,-0.37,0,Players
245,0.07,1.0,MID,Jamie_Bynoe-Gittens,Gittens,1.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.07,0.14,0.59,65.0,1,-0.07,-0.07,0,Players
247,0.04,5.0,MID,Moisés_Caicedo Corozo,Caicedo,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.04,0.08,0.66,55.0,1,-0.04,-0.04,1,Players
251,0.31,1.0,MID,Andrey_Nascimento dos Santos,Andrey Santos,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.05,45.0,1,-0.31,0.0,0,Players
254,0.28,2.0,FWD,João Pedro_Junqueira de Jesus,,1.0,0.0,72.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.02,0.3,0.6,75.0,1,-0.28,-0.02,0,Players
255,0.05,1.0,FWD,Liam_Delap,Delap,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.01,0.06,0.05,65.0,1,-0.05,-0.01,0,Players
258,0.0,6.0,GKP,Dean_Henderson,Henderson,1.0,0.0,90.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.6,50.0,1,0.0,0.0,0,Players
261,0.05,5.0,DEF,Daniel_Muñoz,Muñoz,1.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,8.0,0.0,0.05,1.6,55.0,1,-0.05,0.0,0,Players
262,0.0,8.0,DEF,Maxence_Lacroix,Lacroix,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.6,50.0,1,0.0,0.0,1,Players
263,0.0,9.0,DEF,Tyrick_Mitchell,Mitchell,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,1.6,50.0,1,0.0,0.0,1,Players
265,0.0,6.0,DEF,Marc_Guéhi,Guéhi,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.6,45.0,1,0.0,0.0,0,Players
266,0.08,6.0,DEF,Chris_Richards,Richards,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.01,0.09,1.6,45.0,1,-0.08,-0.01,0,Players
271,0.24,3.0,MID,Eberechi_Eze,Eze,1.0,0.0,83.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.24,1.22,75.0,1,-0.24,0.0,0,Players
272,0.0,3.0,MID,Ismaïla_Sarr,Sarr,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.01,0.01,1.6,65.0,1,0.0,-0.01,0,Players
275,0.0,2.0,MID,Will_Hughes,Hughes,1.0,0.0,69.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,1.22,50.0,1,0.0,0.0,0,Players
277,0.0,1.0,MID,Jefferson_Lerma Solís,Lerma,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.38,50.0,1,0.0,0.0,0,Players
278,0.0,3.0,MID,Adam_Wharton,Wharton,1.0,0.0,90.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.05,0.05,1.6,50.0,1,0.0,-0.05,0,Players
281,0.0,1.0,MID,Justin_Devenny,Devenny,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.38,45.0,1,0.0,0.0,0,Players
288,0.29,1.0,FWD,Jean-Philippe_Mateta,Mateta,1.0,0.0,90.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.29,1.6,75.0,1,-0.29,0.0,0,Players
293,0.0,2.0,MID,Kiernan_Dewsbury-Hall,Dewsbury-Hall,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.24,0.24,2.07,50.0,1,0.0,-0.24,0,Players
294,0.0,2.0,GKP,Jordan_Pickford,Pickford,1.0,0.0,90.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.07,55.0,1,0.0,0.0,0,Players
298,0.2,4.0,DEF,James_Tarkowski,Tarkowski,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.01,0.21,2.07,55.0,1,-0.2,-0.01,1,Players
300,0.17,2.0,DEF,Jake_O'Brien,O'Brien,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.01,0.18,2.07,50.0,1,-0.17,-0.01,0,Players
302,0.0,2.0,DEF,Michael_Keane,Keane,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,2.07,45.0,1,0.0,0.0,0,Players
306,0.0,2.0,MID,Iliman_Ndiaye,Ndiaye,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.02,0.02,2.07,65.0,1,0.0,-0.02,0,Players
308,0.03,1.0,MID,Carlos_Alcaraz Durán,Alcaraz,1.0,0.0,85.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,0.01,0.04,1.87,55.0,1,-0.03,-0.01,0,Players
309,0.06,2.0,MID,Idrissa Gana_Gueye,,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.12,0.18,2.07,55.0,1,-0.06,-0.12,0,Players
310,0.03,2.0,MID,James_Garner,Garner,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.01,0.04,2.07,50.0,1,-0.03,-0.01,0,Players
311,0.0,2.0,MID,Tim_Iroegbunam,Iroegbunam,1.0,0.0,70.0,0.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.93,50.0,1,0.0,0.0,0,Players
317,0.0,1.0,FWD,Thierno_Barry,Barry,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,60.0,1,0.0,0.0,0,Players
318,0.06,2.0,FWD,Norberto Bercique_Gomes Betuncal,,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.01,0.07,2.07,55.0,1,-0.06,-0.01,0,Players
321,0.02,1.0,MID,Jack_Grealish,Grealish,1.0,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.02,1.14,65.0,1,-0.02,0.0,0,Players
324,0.0,3.0,GKP,Bernd_Leno,Leno,1.0,0.0,90.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.48,50.0,1,0.0,0.0,0,Players
327,0.0,2.0,DEF,Joachim_Andersen,Andersen,1.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.01,0.01,1.48,45.0,1,0.0,-0.01,0,Players
328,0.0,1.0,DEF,Calvin_Bassey,Bassey,1.0,0.0,90.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.01,0.01,1.48,45.0,1,0.0,-0.01,0,Players
329,0.0,1.0,DEF,Timothy_Castagne,Castagne,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,45.0,1,0.0,0.0,0,Players
331,0.0,2.0,DEF,Jorge_Cuenca Barreno,J.Cuenca,1.0,0.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.01,0.01,1.07,45.0,1,0.0,-0.01,0,Players
