,name,position,value,team_code,selected,web_name,DefCon,Risk_share_avg,Point_STD,offset,id,0,38
44,Andrew_Moran,MID,4.5,36,0.0,Moran,0.0,0.1304649429570135,3.0,1,177,0,0.0
45,Andrew_Robertson,DEF,5.7,14,0.011000000000000001,Robertson,4.24,0.5081786378331804,2.04,1,372,0,2.468738226903164
46,Andrey_Nascimento dos Santos,MID,4.4,8,0.003,Andrey Santos,9.31,0.2627751569498952,1.41,1,246,0,2.015759604292025
47,André_Onana,GKP,4.9,1,0.001,Onana,0.0,0.3245873094007108,1.99,1,432,0,0.0
48,André_Trindade da Costa Neto,MID,5.2,39,0.001,André,12.47,0.1260143899548555,1.81,1,643,0,3.366567857719631
49,Andrés_García,DEF,3.9,7,0.002,A.García,2.37,0.3772953164559436,0.26,1,42,0,0.025266074167861176
50,Andy_Irving,MID,4.3,21,0.002,Irving,12.69,0.1577481088057475,0.32,1,621,0,0.0
51,Angel_Gomes,MID,4.6,39,0.0,Angel,6.43,0.2673930868692169,0.57,1,816,0,1.034863318682975
52,Angus_Gunn,GKP,4.0,17,0.011000000000000001,Gunn,0.0,0.3264812397128602,3.0,1,675,0,0.5277033467786261
53,Anthony_Elanga,MID,6.5,4,0.026000000000000002,Elanga,3.8,0.3052256346585352,0.74,1,486,0,1.2195944186787244
54,Anthony_Gordon,MID,7.3,4,0.033,Gordon,4.56,0.4455914198525993,2.55,1,485,0,1.7835182329735568
55,Anthony_Patterson,GKP,4.2,56,0.001,Patterson,0.0,0.3467252138080933,3.0,1,528,0,0.0
56,Antoine_Semenyo,MID,8.1,43,0.47,Semenyo,6.7,0.5041311712872902,2.05,1,82,0,4.570464801840816
57,Anton_Stach,MID,4.8,2,0.02,Stach,10.11,0.3323183566801762,2.51,1,660,0,2.1826487619344506
58,Antonee_Robinson,DEF,4.9,54,0.009000000000000001,Robinson,8.31,0.477935384740533,1.92,1,316,0,2.989438639625683
59,Antoni_Milambo,MID,5.2,94,0.0,Milambo,8.0,0.2618983112743168,3.0,1,122,0,0.0
60,Antony_dos Santos,MID,5.9,1,0.001,Antony,0.0,0.2161316734530053,3.0,1,454,0,0.0
61,Antonín_Kinský,GKP,3.9,6,0.019,Kinsky,0.0,0.3496106201616818,1.19,1,567,0,2.6796496369353737
62,Antoñito_Cordero Campillo,MID,4.9,4,0.0,Antoñito C.,0.0,0.1347640905621499,3.0,1,492,0,0.0
63,Archie_Gray,MID,4.8,6,0.001,Gray,8.06,0.2671885217721568,2.06,1,591,0,1.6820829039689023
64,Archie_Whitehall,MID,4.5,17,0.0,Whitehall,0.0,0.1048449986568349,3.0,1,835,0,0.0
65,Armando_Broja,FWD,5.2,90,0.001,Broja,4.7,0.2657515534194058,1.4,1,680,0,1.0316444096900192
66,Arnaud_Kalimuendo,FWD,6.0,17,0.001,Kalimuendo,6.07,0.0690130418392954,3.0,1,696,0,0.0
67,Arthur_Masuaku,DEF,3.9,56,0.005,Masuaku,7.2,0.4059079003530137,3.0,1,678,0,0.0
68,Asher_Agbinone,MID,4.3,31,0.001,Agbinone,0.0,0.1042497470716407,3.0,1,274,0,0.04550673629283815
69,Ashley_Barnes,FWD,4.2,90,0.012,Barnes,5.14,0.0616107620643815,3.0,1,218,0,0.11726760913527912
70,Ashley_Phillips,DEF,4.0,6,0.0,Phillips,0.0,0.4713859997191698,3.0,1,576,0,0.0
71,Axel_Disasi,DEF,4.5,21,0.002,Disasi,6.65,0.5022905306085717,1.96,1,815,0,2.991915669639498
