,assists,bonus,bps,clean_sheets,element,expected_assists,expected_goal_involvements,expected_goals,kickoff_time,expected_goals_conceded,fixture,goals_conceded,goals_scored,minutes,opponent_team,saves,total_points,value,was_home,Cluster,XGH,XGCH,XGA,XGCA,Own_cluster,ICT,Threat,creativity,influence,defcon,season,XGC_DEF,XGC_FWD,XGC_MID,Own_Attacking_form,opponent_code,Team_XG,Team_XA,position,name,Team,available,average_minutes,gamepos,xGChain,xGBuildup,shots,key_passes,rolling_form,rolling_XG,rolling_XA,rolling_GC,rolling_bps,rolling_GS,rolling_shots,rolling_key_passes,rolling_XG_historic,rolling_XA_historic,rolling_Threat_historic,rolling_Creativity_historic,rolling_bps_historic,rolling_bonus_historic,rolling_bonus,rolling_GS_historic,rolling_Assist_historic,rolling_GC_historic,rolling_XGC_historic,rolling_Assist,BPS_per_90,Rolling_creativity,Rolling_influence,Rolling_BPS_per_90,XG_Mean,XA_Mean,Shots_Mean,time,rolling_Chain,Overscore,Average_Overscore,rolling_ICT,rolling_Threat,Threat_Mean,Influence_Mean,Adjusted_XG,Rolling_adjusted_XG_form,Rolling_adjusted_XG,Adjusted_XGC,Rolling_adjusted_XGC,Adjusted_XA,Rolling_adjusted_XA_form,Rolling_adjusted_XA,Adjusted_BPS,Rolling_adjusted_BPS,Adjusted_Fantasy,Rolling_adjusted_Fantasy,OverAssist,Adjusted_XG_Mean,XG_slope,XA_slope,Threat_slope,Influence_slope,Cluster_XG,Cluster_XA,rolling_Adjusted_XG_historic,rolling_Adjusted_XA_historic,Share_of_XG,Share_of_XA,defcon_adjusted,defcon_hit_rate,defcon_avg,defcon_avg_hit_rate,Average_OverAssist,Clipped_XG,Clipped_XA,Clipped_PBS,XG_vs_0,XG_vs_2,XG_vs_3,XG_vs_1,XA_vs_0,XA_vs_2,XA_vs_3,XA_vs_1,BPS_vs_0,BPS_vs_2,BPS_vs_3,BPS_vs_1,XG_Mean_difference,XA_Mean_difference,Shot_Mean_difference,Threat_Mean_difference,Adjusted_XG_Mean_difference
286,0.0,0.0,24.0,1.0,367.0,0.0,0.0,0.0,2025-05-25,0.4,375.0,0.0,0.0,90,2.0,1.0,6.0,43.0,True,2,1.86,1.05,1.33,1.36,2,1.3,0.0,0.0,13.0,,30,0.17,0.38,1.09,1.39,7,2.88,1.93,GKP,Altay_Bayindir,1,1,54.86,GK,0.07,0.07,0.0,0.0,1.16,0.0,0.0,3.12,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,2.5,1.73,0.0,0.27,0.0,18.79,0.01,0.0,0.0,0.0,4,0.04,,,1.65,0.0,0.0,20.0,0.0,0.0,0.0,0.3,1.09,0.0,0.0,0.0,17.69,5.57,4.42,0.84,,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,,0.0,0.0,24.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,12.0,,-6.0,,,,,
287,0.0,0.0,5.0,0.0,365.0,0.03,0.03,0.0,2025-01-19,0.0,217.0,0.0,0.0,90,5.0,0.0,1.0,57.0,True,2,1.55,1.27,1.45,1.44,2,0.8,2.0,4.3,2.0,,30,0.1,0.39,0.85,1.62,36,1.48,0.55,MID,Antony_Matheus dos Santos,1,1,0.02,AMR,0.11,0.11,0.0,0.0,1.21,0.12,0.04,0.48,5.49,0.03,1.02,0.45,0.1,0.04,34.43,49.74,5.97,0.0,0.0,0.03,0.03,0.77,0.67,0.02,0.83,5.75,5.54,0.52,0.12,0.04,1.53,62,0.13,0.25,0.32,3.18,11.49,8.16,9.41,0.0,0.01,0.12,0.0,0.21,0.02,0.0,0.06,3.47,7.72,0.69,0.89,0.51,0.08,0.0019448445365083144,-0.00036657960906195296,-0.2139274853408982,0.13,0.06,0.04,0.06,0.03,0.09,0.04,,0,,,1.45,0.0,0.03,5.0,0.17,0.06,0.03,0.14,0.05,0.03,0.02,0.06,6.62,4.12,3.0,6.25,-1.0,-0.06,-0.33,0.41,0.6
288,0.0,0.0,2.0,0.0,698.0,0.0,0.04,0.04,2025-01-19,0.02,215.0,0.0,0.0,90,10.0,0.0,1.0,45.0,False,0,0.72,1.96,0.92,2.01,3,0.5,5.0,0.1,0.2,,30,0.11,0.68,1.31,1.9,40,3.08,1.82,FWD,Divin_Mubama,43,1,0.01,Sub,0.0,0.0,1.0,0.0,1.0,0.02,0.0,0.21,2.63,0.0,0.23,0.05,0.02,0.0,3.77,9.85,2.56,0.0,0.0,0.0,0.0,0.22,0.44,0.0,0.07,0.8,0.17,0.9,0.02,0.0,0.22,9,0.05,0.0,0.0,0.41,1.62,0.99,0.31,0.02,0.0,0.03,0.03,0.39,0.0,0.0,0.0,1.02,2.92,0.51,0.69,0.0,0.01,0.0013731775269767714,-9.103266150954748e-06,0.07799207983592511,-0.04,0.03,0.0,0.01,0.0,0.02,0.0,,0,,,0.0,0.04,0.0,2.0,0.03,0.0,0.0,0.0,0.0,0.01,0.0,0.0,2.67,2.0,3.0,2.0,1.39,-0.08,0.05,0.63,0.82
289,0.0,0.0,5.0,0.0,602.0,0.02,0.02,0.0,2024-04-20,0.69,336.0,1.0,0.0,90,4.0,0.0,1.0,40.0,True,2,1.58,1.46,1.43,1.56,0,2.6,2.0,14.2,9.4,,30,0.21,0.36,0.94,1.35,94,0.6,0.27,DEF,Issa_Kaboré,102,1,0.0,DC,0.06,0.0,0.0,1.0,1.11,0.0,0.06,1.65,10.61,0.0,0.07,0.79,0.01,0.08,3.7,14.53,9.83,0.12,0.04,0.0,0.12,1.62,1.58,0.09,0.15,11.68,15.91,0.14,0.0,0.07,0.13,24,0.22,0.0,0.0,2.19,1.23,1.75,16.29,0.0,0.0,0.0,0.48,1.19,0.01,0.01,0.05,3.2,7.87,0.64,0.8,1.42,0.0,-0.00043939399870138683,-0.0011934479304426236,-0.11965280773346527,0.25,0.0,0.02,0.01,0.06,0.01,0.09,,0,,,1.85,0.0,0.02,5.0,0.01,0.0,0.02,0.01,0.09,0.02,0.15,0.1,12.62,6.12,12.75,10.0,-1.0,-13.66,-0.5,-0.3,-0.44
290,1.0,3.0,52.0,1.0,625.0,0.45,0.93,0.48,2025-05-25,1.29,372.0,0.0,1.0,90,9.0,0.0,14.0,63.0,False,2,1.23,1.32,1.38,1.4,3,16.4,41.0,74.2,49.0,,30,0.34,0.54,0.62,1.79,54,2.92,1.16,MID,Ilkay_Gündogan,43,1,72.41,AMC,0.63,0.19,1.0,5.0,5.33,0.15,0.16,0.45,21.13,0.16,0.89,1.72,0.1,0.14,11.48,29.12,14.63,0.17,0.55,0.03,0.23,0.9,1.14,0.5,0.62,30.24,19.46,0.37,0.14,0.16,0.8,64,0.75,1.02,0.32,3.94,7.85,11.43,15.73,0.36,0.05,0.09,1.05,0.77,0.34,0.01,0.11,37.74,13.39,8.3,3.64,3.02,0.09,0.00231766091539738,-0.0026727213115420078,0.18643484146497494,0.32,0.13,0.14,0.09,0.1,0.05,0.12,,0,,,2.8,0.48,0.45,35.0,0.06,0.19,0.05,0.1,0.18,0.19,0.12,0.1,12.25,18.25,9.6,16.0,2.38,2.06,0.12,-0.31,-0.38
291,1.0,0.0,28.0,1.0,356.0,0.08,0.26,0.18,2025-05-25,1.74,372.0,0.0,0.0,90,9.0,0.0,6.0,49.0,False,2,1.23,1.32,1.38,1.4,3,6.4,29.0,17.3,17.6,,30,0.34,0.54,0.62,1.79,54,2.92,1.16,MID,Matheus_Luiz Nunes,43,1,72.65,DR,0.7,0.7,1.0,1.0,4.39,0.08,0.12,0.53,19.14,0.09,0.52,0.68,0.05,0.12,13.46,24.19,12.83,0.2,0.37,0.03,0.23,0.67,0.86,0.41,0.31,14.84,17.9,0.32,0.07,0.12,0.33,79,0.42,1.22,0.67,3.17,6.86,10.24,16.13,0.14,0.01,0.04,1.42,0.7,0.06,0.02,0.08,21.13,12.5,4.53,3.26,3.39,0.04,0.0014527636719605923,-0.0012895816448212577,0.07102990194619915,0.44,0.01,0.19,0.03,0.08,0.03,0.11,,0,,,2.45,0.18,0.08,28.0,0.01,0.04,0.03,0.11,0.17,0.2,0.03,0.06,13.62,20.75,6.14,12.75,1.56,-0.58,0.55,-0.33,-0.47
292,0.0,0.0,2.0,0.0,343.0,0.0,0.0,0.0,2024-05-14,0.0,339.0,0.0,0.0,90,18.0,0.0,1.0,64.0,False,1,1.93,1.44,1.68,1.78,3,0.2,2.0,0.5,0.0,,30,0.12,0.63,0.64,2.23,6,2.39,0.63,FWD,Julián_Álvarez,43,1,0.0,Sub,,,2.0,0.5,3.5,0.37,0.08,0.32,15.03,0.37,2.0,0.5,0.35,0.17,49.41,31.69,16.83,0.4,0.08,0.3,0.2,0.7,0.72,0.14,2.0,14.13,17.46,1.18,0.37,0.1,2.0,67,,0.99,0.86,5.85,22.81,25.59,14.83,0.0,0.06,0.3,0.0,0.39,0.0,0.01,0.09,1.39,14.5,0.69,2.38,1.72,0.21,0.007141731697722758,-0.0007953827012912405,0.25539352635170676,-0.32,0.26,0.17,0.23,0.11,0.19,0.07,,0,,,2.07,0.0,0.0,2.0,0.39,0.37,0.12,0.24,0.21,0.1,0.08,0.14,20.0,13.88,6.75,18.62,-1.0,-0.26,0.0,-0.11,0.43
293,0.0,0.0,3.0,0.0,345.0,0.01,0.01,0.0,2025-05-25,0.45,372.0,0.0,0.0,90,9.0,0.0,1.0,95.0,False,2,1.23,1.32,1.38,1.4,3,0.2,0.0,1.3,0.8,,30,0.34,0.54,0.62,1.79,54,2.92,1.16,MID,Kevin_De Bruyne,43,1,52.79,AMC,0.0,0.0,0.0,0.0,3.9,0.26,0.23,0.41,14.85,0.16,2.04,1.79,0.19,0.26,25.21,46.38,16.67,0.4,0.45,0.13,0.33,0.67,0.74,0.14,0.6,32.71,14.77,0.32,0.25,0.23,1.93,78,0.55,0.6,0.7,5.57,12.95,14.99,16.29,0.0,0.04,0.15,0.37,0.72,0.01,0.02,0.2,2.26,13.13,0.75,2.67,0.61,0.14,0.009181680458559974,0.0028205750854416027,-0.10563814039444083,-0.12,0.24,0.17,0.13,0.17,0.09,0.17,,0,,,1.65,0.0,0.01,3.0,0.3,0.23,0.19,0.18,0.44,0.15,0.13,0.3,24.25,12.75,17.43,17.88,-1.0,-0.9,0.05,-0.14,0.14
294,0.0,0.0,6.0,0.0,333.0,0.0,0.0,0.0,2025-05-19,2.2,364.0,3.0,0.0,90,5.0,0.0,1.0,39.0,False,2,1.64,1.28,1.59,1.43,3,3.7,2.0,10.7,24.2,,30,0.21,0.35,1.0,2.06,36,2.24,1.52,DEF,Jarell_Quansah,14,1,29.71,Sub,0.95,0.95,0.0,1.0,0.98,0.03,0.01,1.26,4.02,0.03,0.17,0.3,0.04,0.01,4.8,6.8,10.03,0.17,0.08,0.07,0.0,0.9,0.82,0.0,0.07,3.79,12.07,0.72,0.03,0.01,0.27,30,0.24,1.19,1.75,2.13,2.99,3.14,17.12,0.0,0.01,0.02,1.34,0.52,0.0,0.0,0.01,4.69,8.55,0.78,0.55,0.0,0.04,0.0005969348920310538,0.00015586869126628267,0.006950096221581661,-0.31,0.01,0.01,0.02,0.01,0.02,0.01,,0,,,0.0,0.0,0.0,6.0,0.11,0.01,0.01,0.0,0.01,0.01,0.01,0.03,10.62,9.0,6.33,8.4,-1.0,-0.37,-0.36,-0.05,-0.34
295,0.0,0.0,4.0,0.0,325.0,0.0,0.0,0.0,2025-04-06,0.74,305.0,3.0,0.0,90,9.0,3.0,2.0,40.0,False,2,1.26,1.25,1.46,1.4,3,2.1,0.0,0.0,21.4,,30,0.25,0.3,0.59,2.18,54,1.49,0.79,GKP,Caoimhin_Kelleher,14,1,2.93,GK,0.03,0.03,0.0,0.0,4.09,0.0,0.0,1.46,15.48,0.0,0.0,0.02,0.0,0.0,0.0,0.48,17.81,0.19,0.08,0.0,0.0,1.29,1.1,0.0,0.04,0.21,21.02,0.17,0.0,0.0,0.0,21,0.19,,,1.66,0.0,0.0,24.48,0.0,0.0,0.0,0.59,0.84,0.0,0.0,0.0,3.19,11.43,1.59,3.12,0.0,0.0,0.0,-9.658694168168774e-06,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38,17.17,16.33,9.33,,-inf,,,
