,name,CBI
174,Ryan_Trevitt,0.27
175,Yoane_Wissa,4.251968503937007
176,Igor_Thiago Nascimento Rodrigues,1.98
177,Iwan_Morgan,0.0
178,Jason_Steele,0.0
179,Bart_Verbruggen,0.0
180,Tom_McGill,0.0
181,Carl_Rushworth,0.0
182,Kjell_Scherpen,0.0
183,Olivier_Boscagli,0.0
184,Diego_Coppola,0.0
185,Maxim_De Cuyper,0.0
186,Lewis_Dunk,5.449303219605959
187,Pervis_Estupiñán Tenorio,6.152563568153397
188,Ferdi_Kadıoğlu,3.3299999999999996
189,Igor_Julio dos Santos de Paulo,5.49
190,Tariq_Lamptey,4.68
191,Jan_Paul van Hecke,6.993243243243243
192,Joël_Veltman,6.959858323494687
193,Adam_Webster,7.11
194,Eiran_Cashin,0.18
195,Jacob_Slater,0.0
196,Charlie_Tasker,0.0
197,Mitoma_Kaoru,5.822102425876011
198,Georginio_Rutter,7.086614173228346
199,Solly_March,1.44
200,Yankuba_Minteh,8.454396504642272
201,Julio_Enciso Espínola,6.155844155844156
202,Brajan_Gruda,4.41
203,Jack_Hinshelwood,7.145187601957586
204,Matt_O'Riley,6.300000000000001
205,Abdallah_Sima,0.0
206,Yasin_Ayari,10.480081716036773
207,Carlos_Baleba,12.721804511278195
208,Facundo_Buonanotte,9.668435013262599
209,Diego_Gómez Amarilla,6.39
210,James_Milner,1.17
211,Jeremy_Sarmiento Morante,0.09
212,Tom_Watson,0.0
213,Mats_Wieffer,15.254237288135592
214,Malick_Yalcouyé,0.0
215,Joe_Knight,0.0
216,Adrian_Mazilu,0.0
217,Andrew_Moran,0.0
218,Danny_Welbeck,4.0540540540540535
219,Evan_Ferguson,2.97
220,Stefanos_Tzimas,0.0
221,Charalampos_Kostoulas,0.0
222,Robert_Sánchez,0.0
223,Filip_Jörgensen,0.0
224,Mike_Penders,0.0
225,Gabriel_Słonina,0.0
226,Marc_Cucurella Saseta,5.753012048192772
227,Reece_James,4.257332071901608
228,Trevoh_Chalobah,8.044692737430168
229,Levi_Colwill,6.314285714285714
230,Malo_Gusto,5.6826767404209395
231,Benoît_Badiashile Mukinayi,2.6100000000000003
232,Wesley_Fofana,6.757679180887372
233,Mamadou_Sarr,0.0
234,Tosin_Adarabioyo,7.312900926585887
235,Josh_Acheampong,0.36
236,Aarón_Anselmino,0.0
237,Cole_Palmer,4.819918571875979
238,Pedro_Lomba Neto,4.73474801061008
239,Enzo_Fernández,7.981651376146789
240,Estêvão_Almeida de Oliveira Gonçalves,0.0
241,Jamie_Bynoe-Gittens,0.0
242,Christopher_Nkunku,5.31
243,Moisés_Caicedo Corozo,12.220232766338405
244,Tyrique_George,0.8099999999999999
245,Roméo_Lavia,7.92
246,Mykhailo_Mudryk,1.17
247,Andrey_Nascimento dos Santos,0.0
248,Dário_Luís Essugo,0.0
249,Kendry_Páez Andrade,0.0
250,João_Pedro Junqueira de Jesus,4.439876670092497
251,Liam_Delap,3.7920371086200233
252,Nicolas_Jackson,3.6486486486486487
253,Jorrel_Hato,0.0
254,Dean_Henderson,0.0
255,Walter_Benítez,0.0
256,Remi_Matthews,0.0
257,Daniel_Muñoz,7.441932486838031
258,Maxence_Lacroix,10.022464698331193
259,Tyrick_Mitchell,6.3203883495145625
260,Borna_Sosa,0.0
261,Marc_Guéhi,7.884929715593332
262,Chris_Richards,9.042165538781884
263,Chadi_Riad Dnanou,0.63
264,Nathaniel_Clyne,2.6999999999999997
265,Rob_Holding,0.0
266,Caleb_Kporha,0.27
267,Eberechi_Eze,7.094281298299845
268,Ismaïla_Sarr,6.314623338257015
269,Cheick_Doucouré,6.12
270,Romain_Esse,1.8
271,Will_Hughes,10.671428571428573
272,Daichi_Kamada,10.077669902912621
273,Jefferson_Lerma Solís,12.9647577092511
274,Adam_Wharton,12.671232876712327
275,Asher_Agbinone,0.18
276,Naouirou_Ahamada,0.0
277,Justin_Devenny,5.04
278,Malcolm_Ebiowei,0.0
279,Jesurun_Rak-Sakyi,0.0
280,Matheus_França de Oliveira,0.72
281,David_Ozoh,0.0
282,Kaden_Rodney,0.0
283,Franco_Umeh-Chibueze,0.0
284,Jean-Philippe_Mateta,3.883421650264951
285,Eddie_Nketiah,4.862475442043222
286,Odsonne_Édouard,0.9
287,Zach_Marsh,0.0
288,Kiernan_Dewsbury-Hall,2.34
289,Jordan_Pickford,0.0
290,Mark_Travers,0.0
291,Harry_Tyrer,0.0
292,Jarrad_Branthwaite,9.828616978876045
293,James_Tarkowski,10.965092402464066
294,Vitalii_Mykolenko,7.3588578844905905
295,Jake_O'Brien,7.059948979591836
296,Séamus_Coleman,1.26
