,GW,name,position,Team,average_minutes,Goal_share,Assist_share,Pen_data,CBI_Percent,BPS,Save_Pred,Pos_Goal_Threat,Pos_Assist_Threat,Cards,Goal_factor,Assist_factor,CS_factor,default_points,value,selected,web_name
27,8,Abdukodir_Khusanov,DEF,43,82.967762,0.022301891978212585,0.03573986775253955,0.0,0.24519694860561048,4.846,0.0,0.0981479453664453,0.0662374343101665,0.11,6,3,4.0,2,55,1.8,Khusanov
28,2,Abdul_Fatawu,MID,40,38.83540071468361,0.0382949976259731,0.0748622904194435,0.0,0.1757471317565114,8.25,0.0,0.1418747005046147,0.1725201612439683,0.0,5,3,1.0,2,55,0.2,Fatawu
29,3,Abdul_Fatawu,MID,40,38.70870172422559,0.0381874103288494,0.0746669242065368,0.0,0.1954658467238269,8.25,0.0,0.1416906418113573,0.1523274505304762,0.0,5,3,1.0,2,55,0.2,Fatawu
30,4,Abdul_Fatawu,MID,40,38.5824785040042,0.0380801771599983,0.0744722012966805,0.0,0.19261190542305265,8.25,0.0,0.2035399376271577,0.193321813622163,0.0,5,3,1.0,2,55,0.2,Fatawu
31,5,Abdul_Fatawu,MID,40,38.53405388625366,0.0380405978746657,0.0744029254865246,0.0,0.20476732158391564,8.25,0.0,0.1257906996501288,0.1634518075282892,0.0,5,3,1.0,2,55,0.2,Fatawu
32,6,Abdul_Fatawu,MID,40,38.56469774857686,0.0380698883614487,0.0744614712191919,0.0,0.1355918927501498,8.25,0.0,0.1674896667781553,0.183695691856461,0.0,5,3,1.0,2,55,0.2,Fatawu
33,7,Abdul_Fatawu,MID,40,38.59534066041384,0.0380991765418201,0.0745200144366104,0.0,0.23112529024019024,8.25,0.0,0.1296142517343984,0.15061057040606,0.0,5,3,1.0,2,55,0.2,Fatawu
34,8,Abdul_Fatawu,MID,40,38.62624974451235,0.0381287327389696,0.0745791175574082,0.0,0.18742669065595646,8.25,0.0,0.1043044508735387,0.1944670218667307,0.0,5,3,1.0,2,55,0.2,Fatawu
35,2,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.041795175616322316,2.214945945945946,0.0,0.1616130281141775,0.1908631424210464,0.1,5,3,1.0,2,50,0.0,Ömür
36,3,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.0480242755741853,2.214945945945946,0.0,0.1785646472730203,0.2139222691376677,0.1,5,3,1.0,2,50,0.0,Ömür
37,4,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.041623668261475365,2.214945945945946,0.0,0.1767223870429291,0.2668866003462178,0.1,5,3,1.0,2,50,0.0,Ömür
38,5,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.06745075120411957,2.214945945945946,0.0,0.1714810473753032,0.1961736168330714,0.1,5,3,1.0,2,50,0.0,Ömür
39,6,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.059640917902482264,2.214945945945946,0.0,0.1983238440862614,0.2049315599356508,0.1,5,3,1.0,2,50,0.0,Ömür
40,7,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.03719935652896385,2.214945945945946,0.0,0.1399220617449503,0.2257783699173752,0.1,5,3,1.0,2,50,0.0,Ömür
41,8,Abdülkadir_Ömür,MID,88,0.0,0.0,0.0,0.0,0.0655682917598883,2.214945945945946,0.0,0.1351021564615107,0.2272520596041705,0.1,5,3,1.0,2,50,0.0,Ömür
42,2,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.057255755655957356,1.1215555555555556,0.0,0.1580729391110124,0.165407494098448,0.1,5,3,1.0,2,50,0.0,Kamara
43,3,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.0656312553105394,1.1215555555555556,0.0,0.1527194779419768,0.1146112872189217,0.1,5,3,1.0,2,50,0.0,Kamara
44,4,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.05702458109717377,1.1215555555555556,0.0,0.116094884253595,0.1805601158801489,0.1,5,3,1.0,2,50,0.0,Kamara
45,5,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.09149546595596407,1.1215555555555556,0.0,0.1695218900645663,0.2368938228409358,0.1,5,3,1.0,2,50,0.0,Kamara
46,6,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.08114384522113154,1.1215555555555556,0.0,0.1257906996501288,0.1634518075282892,0.1,5,3,1.0,2,50,0.0,Kamara
47,7,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.0510504572662748,1.1215555555555556,0.0,0.1674896667781553,0.183695691856461,0.1,5,3,1.0,2,50,0.0,Kamara
48,8,Abu_Kamara,MID,88,0.0,0.0,0.0,0.0,0.0890059990288418,1.1215555555555556,0.0,0.176748229810783,0.1729386122094444,0.1,5,3,1.0,2,50,0.0,Kamara
49,2,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.039756546385852645,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
50,3,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.030127583090788,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
51,4,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.03678863031337342,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
52,5,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.010115363508502262,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
53,6,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.02372282516517086,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
54,7,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.025045311961665387,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
55,8,Adam_Aznou,DEF,11,0.0,0.0,0.0,0.0,0.027489981180099887,1.0,0.0,0.05,0.05,0.1,6,3,4.0,2,40,0.2,Aznou
56,2,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.37843257334682795,1.0,0.0,0.0762022650714574,0.1248307908560988,0.22,6,3,4.0,2,45,0.1,Smith
57,3,Adam_Smith,DEF,91,88.07834016922187,0.004883971086807927,0.0420250468380754,0.0,0.4097955077966147,1.0,0.0,0.1027020279414937,0.0698184943692308,0.22,6,3,4.0,2,45,0.1,Smith
