,name,code,id,kickoff_time,XG,Round_XG,Round_XA,XGC,was_home,opponent,Clean_Sheet,Result,Threat,saves,ict_index,red_cards,defensive_contribution,Threat_against,Defcon_against,Saves_against,ICT_against,Plain_XG,Plain_XGC,Plain_GS,Plain_GC,XG_DEF,XG_MID,XG_FORWARD,Plain_GS_capped,Plain_GS_roll8,Plain_GS_roll18,Plain_GS_roll30,Plain_GC_capped,Plain_GC_roll8,Plain_GC_roll18,Plain_GC_roll30,Plain_XGC_capped,Plain_XGC_roll8,Plain_XGC_roll18,Plain_XGC_roll30,Plain_XG_capped,Plain_XG_roll8,Plain_XG_roll18,Plain_XG_roll30,Threat_capped,Threat_roll8,Threat_roll18,Threat_roll30,Threat_against_capped,Threat_against_roll8,Threat_against_roll18,Threat_against_roll30,Offensive_Index,Defensive_Index,XGA,XGCA,XGH,XGCH,XG_avg,XGC_avg,Rolling_Threat,Rolling_Saves,Rolling_ict_index,Rolling_Defcon_for,Rolling_Threat_Against,Rolling_Defcon_against,Rolling_ICT_Against,Rolling_Saves_Against,XG_slope,XGC_slope,Rolling_XG,Rolling_XGC,XG_neutral_slope,XGC_neutral_slope,Elo_Rating,XG_pred_rolling_error,XGC_pred_rolling_error,cluster,XG_vs_cluster_0,XG_vs_cluster_1,XG_vs_cluster_2,XG_vs_cluster_3,XGC_vs_cluster_0,XGC_vs_cluster_1,XGC_vs_cluster_2,XGC_vs_cluster_3,kickoff_date,roll10_deep,roll10_deep_allowed,roll10_xpts,roll10_ppda,roll10_ppda_allowed,Understat_OffIndex,Understat_defIndex,Understat_HA_Off_effect,Understat_HA_DEF_effect
0,Sheffield Utd,49,17,2024-05-19 15:00:00+00:00,0.492,0.71,0.3,3.0492000000000004,True,6.0,0,0,33.0,6.0,25.7,0.0,0.0,235.0,0.0,1.0,77.3,0.71,3.28,0.0,3.0,0.2628597070113216,1.4079440192494517,0.3850078713026281,0.4,1.025,1.2333333333333334,1.086666666666667,3.0,2.875,2.7777777777777777,2.5133333333333336,3.28,2.0425,2.0955555555555554,1.967666666666667,0.71,1.3125,1.2355555555555555,1.1106666666666667,40.0,123.0,119.94444444444444,103.06666666666666,235.0,187.25,205.72222222222223,191.2,1.1539833333333331,2.199533333333333,0.7886872318847498,1.9930541081833857,0.9910129348372304,2.1094063259827283,1.0219167083471616,2.125381775208195,1.173,4.401852771362943,43.74,76.61261616433391,2.012,75.73689420068044,72.91,2.6753362222586565,0.0014914940997016,0.0238197750511782,1.0269009021916395,2.1721641457269287,0.0029805166197642,0.0193653030962056,738.6494121929907,-0.0278540374968157,-0.0030096416851639,1,0.8594847638603689,1.8909066558441552,1.048312661361627,1.3760707806603758,2.1115036591375764,1.3144788311688318,2.4342168806366047,1.6894975716981135,2024-05-19,0.11103790479257236,0.4162765566638378,0.2563071513779626,0.4029458821717088,0.10597719650429287,1.1562851793855318,1.9806583164441585,0.4537511165574477,-0.050711014683419986
1,Luton,102,12,2024-05-19 15:00:00+00:00,1.934,2.1,0.28,1.6064000000000005,True,54.0,0,0,137.0,3.0,41.9,0.0,0.0,144.0,0.0,4.0,69.7,2.1,1.06,2.0,4.0,0.1235221269018737,0.8746859578240875,0.6054733831372674,2.0,1.1749999999999998,1.5777777777777775,1.4733333333333332,4.0,2.625,2.522222222222222,2.293333333333333,1.06,1.9125,2.12,2.154333333333333,2.1,0.8725,1.2894444444444444,1.1583333333333334,137.0,107.0,130.5,120.5,144.0,174.875,178.61111111111111,186.3333333333333,1.2453500000000002,2.139783333333333,0.9595720382932073,2.146037080525632,1.228167285670202,1.809136995056948,1.1696098309908525,2.0586851855623114,1.3544999999999998,3.928108105192508,50.515,76.61261616433391,1.7919999999999998,75.73689420068044,64.14500000000001,2.7074765717166898,-0.0234582112582065,0.0165132285203406,1.192222380462861,2.0729897501130994,-0.0168537528293814,0.0022589772524143,798.6121523142576,0.0097308224014922,0.0393559038714729,1,0.8801956365503074,1.6969327651515145,1.338625322723254,1.3398569268867917,2.3625780492813133,1.301658636363637,2.10278376127321,1.563699190566038,2024-05-19,0.11230504076859296,0.3575696696750711,0.28761558849177865,0.17140206769138222,0.1026048771931254,1.1825905025274617,2.3490346500589285,0.4443835524545735,-0.9021975510360136
2,Leicester,13,11,2025-05-25 15:00:00+00:00,0.226,0.28,0.43,1.9156,False,91.0,0,0,29.0,5.0,23.1,0.0,0.0,225.0,0.0,0.0,64.5,0.28,1.79,0.0,2.0,0.1128215430934002,1.0125964908352414,0.9118827649558184,0.4,1.2,0.8444444444444446,0.9266666666666666,2.0,1.725,2.0444444444444443,2.2266666666666666,1.79,2.1,1.8522222222222224,1.8716666666666668,0.4,0.9075,0.8155555555555556,0.8753333333333333,40.0,93.75,88.0,90.23333333333332,225.0,178.375,170.77777777777777,174.0,0.8994500000000001,1.9250666666666665,0.9802988586802004,1.8746194781493348,0.8496014149251035,1.695480309181993,0.907200068401326,1.8550582801661653,0.862,3.214529382367872,38.185,76.61261616433391,1.6755000000000002,75.73689420068044,60.035,2.107357300039391,-0.0047539318872443,-0.0112866799291739,0.9181390234551392,1.8664823894005849,-0.0043855196323825,-0.0082055159807762,780.3713026073644,0.168708707801992,-0.0045815835687371,1,0.7171956365503074,1.703156655844155,0.8950939920424403,1.0320707806603755,1.9938280492813136,1.0026288311688316,2.092225320954907,1.5655975716981136,2025-05-25,0.08682741915371739,0.3470222794680939,0.20327831499457405,0.20735745796093336,0.1674485978378032,0.8632399632127188,2.037035848507123,0.24696772614408835,-0.025055222437620817
3,Southampton,20,17,2025-05-25 15:00:00+00:00,0.76,0.6300000000000001,0.51,2.1780000000000004,True,3.0,0,0,91.0,6.0,43.5,0.0,0.0,225.0,0.0,1.0,82.3,0.6300000000000001,2.2,1.0,2.0,0.4315903937133677,1.4125765794001452,0.3659249489926699,1.0,0.7,0.8777777777777778,0.8200000000000001,2.0,1.9250000000000005,2.355555555555556,2.2066666666666666,2.2,2.07875,2.195555555555556,2.2576666666666667,0.6300000000000001,0.6975,0.7844444444444445,0.8049999999999999,91.0,84.25,90.11111111111111,90.23333333333332,225.0,196.125,180.0,190.13333333333333,0.8106666666666666,2.136708333333333,0.7755387192888664,1.9454990129147685,0.7941938719573058,1.9997787084655647,0.7977664811448764,2.0546735970117496,0.8625,4.15447225795851,38.975,76.61261616433391,1.8415,75.73689420068044,64.64500000000001,2.1459702403235035,-0.0110235792713782,0.0002587487768106,0.8217962506979097,2.0952151437919126,-0.0099344185152524,0.0001956275585543,696.9507457908865,0.1526758708499308,-0.1314821194616512,1,0.8274456365503075,1.6021566558441551,0.8198126613616269,1.2211777075471677,2.189078049281314,1.1778788311688315,2.162716880636605,1.4288967622641513,2025-05-25,0.06176091435258971,0.4135563725422972,0.15083152771904001,0.2447820811879809,0.16127119320144173,0.8524668610359176,2.2048174158897575,0.0540904560807578,0.0325399048085635
4,Ipswich,40,10,2025-05-25 15:00:00+00:00,0.952,0.8,0.56,1.3584,True,21.0,0,0,136.0,3.0,46.0,0.0,0.0,116.0,0.0,3.0,62.4,0.8,1.01,1.0,3.0,0.2239740934352404,1.1070615731003832,0.4017879063542539,1.0,0.9499999999999998,1.0444444444444445,1.1133333333333333,3.0,2.375,2.5,2.146666666666667,1.01,1.76875,1.8077777777777777,1.903,0.8,0.83125,0.9077777777777778,0.997,136.0,93.625,95.05555555555556,99.03333333333332,116.0,189.25,176.88888888888889,173.13333333333333,0.9800583333333334,1.9682583333333328,0.9660277557187474,1.857465511101188,0.8056810515397287,1.772822675518828,0.9329563684812856,1.8917012133216704,0.9195,3.3199530536518687,39.620000000000005,76.61261616433391,1.724,75.73689420068044,62.145,2.41022636018964,0.0149852940013766,-0.0229671655867518,0.9217906489473005,1.9080601172277527,0.0140759237449712,-0.0172761625780219,820.6960169594272,-0.0267579293382245,0.0027955114813571,1,0.9205238911704304,1.7606827651515145,1.0630626613616267,1.1731069268867915,2.0958792689938397,1.046958636363637,2.081916880636605,1.370499190566038,2025-05-25,0.1142167971967386,0.36630387886941596,0.2716854809252435,0.22634589379265874,0.12977314345806978,1.3866743236955503,1.6257365125282373,0.2987857932663114,-0.32225678393073387
5,West Ham,21,19,2026-05-24 15:00:00+00:00,2.632,2.62,0.9,1.2536000000000005,True,2.0,1,2,230.0,3.0,67.7,0.0,64.0,118.0,81.0,5.0,46.3,2.62,1.59,3.0,0.0,0.3408526289540988,0.4965583808084289,0.4660585226948027,3.0,1.45,1.4666666666666666,1.4,0.4,1.4,1.411111111111111,1.6133333333333335,1.59,1.4025,1.3738888888888887,1.522333333333333,2.62,1.33875,1.4377777777777778,1.3290000000000002,230.0,146.625,132.94444444444446,121.46666666666668,118.0,134.0,147.11111111111111,155.53333333333333,1.370675,1.4773166666666668,1.0909062376641074,1.5881692272456407,1.2040050338675652,1.4474778346421404,1.2590653178829183,1.4975700988052787,1.2865,3.4402089694294657,48.510000000000005,81.56125524055821,1.4825,69.5740042020864,54.145,2.683081385165221,0.0069558529036827,0.0017795952136492,1.264375821914896,1.575540285431694,0.0054360157998122,0.0011569451123787,943.1539557709236,-0.0659467525761782,0.0822879843599598,3,1.0639456365503075,1.7711827651515144,1.1730313306808131,1.6989277075471674,1.9363780492813136,1.0691586363636372,1.5117084403183023,1.1328967622641517,2026-05-24,0.1730591468469894,0.3256446832279395,0.43363207975059376,0.17367136171254766,0.11344959798954303,1.3183290301675954,1.498487871826919,0.2569144964518846,-0.602357219616235
6,Wolves,39,20,2026-05-24 15:00:00+00:00,1.764,2.1,1.11,1.1652,False,90.0,0,1,152.0,7.0,54.0,0.0,80.0,189.0,58.0,3.0,65.2,2.1,0.98,1.0,1.0,0.424789540724251,0.751237533910286,0.6100203064357699,1.0,0.825,0.9222222222222224,0.9333333333333332,1.0,2.0,1.6222222222222222,1.7866666666666664,0.98,1.6875,1.681111111111111,1.6196666666666666,2.1,1.12125,0.9377777777777776,0.9963333333333334,152.0,114.625,102.33333333333331,98.46666666666668,189.0,163.375,156.33333333333334,153.36666666666667,0.9800916666666668,1.67235,0.8404154364784867,1.553899854978143,0.9737696986781614,1.4634340827154753,0.9435921171224956,1.5905084844234048,1.0475,3.0457925634989884,41.535,76.9164218890913,1.5075,73.34343114330694,56.15999999999999,2.689170977541008,0.0041477209182738,-0.0048604742660938,1.0155460925129938,1.5957299116326584,0.004881956358313,-0.0004128892936375,848.7891616246599,0.0389226108431395,0.0178656373065772,3,0.9577347638603688,1.8429327651515144,1.1565626613616269,0.9857138537735836,1.9402036591375764,1.069858636363637,1.7994168806366049,1.6468483811320755,2026-05-24,0.10219030821012792,0.3231995027466146,0.37535435411468393,0.20869215781641254,0.09239160934599021,0.939858821785535,1.8017997360157338,0.3304070746441756,-0.44139197322968715
7,Burnley,90,3,2026-05-24 15:00:00+00:00,1.166,0.98,1.0,1.8016,True,39.0,0,1,189.0,3.0,65.2,0.0,58.0,152.0,80.0,7.0,54.0,0.98,2.09,1.0,1.0,0.4388938144389285,0.8847928562919193,0.821179195675287,1.0,0.9,0.9888888888888888,1.0266666666666666,1.0,2.1250000000000004,2.0222222222222226,2.0266666666666664,2.09,2.03375,2.023888888888889,1.9926666666666668,0.98,0.8612500000000001,0.8583333333333333,0.937,189.0,102.75,94.77777777777776,97.26666666666668,152.0,194.875,188.0555555555556,174.76666666666668,0.9413583333333332,1.984175,0.8152327751511615,1.8897535932863343,0.8971390988317848,1.819411754566896,0.8987721351624032,1.919378836963308,0.9235,3.635019239539055,41.91,80.02816879564928,1.8615,79.18076093286732,64.25999999999999,2.298634286840539,0.0049873776883024,-0.0111164165744546,0.9083037493522524,1.9407580043667545,0.0055835797079443,-0.0064590305826785,758.9450123387385,0.101422652181914,0.0318822492425028,1,0.8572347638603688,1.8542088744588736,1.1283439920424403,0.8955,2.0316536591375765,1.0562384415584425,1.8290253209549072,1.7792500000000002,2026-05-24,0.15233684625258065,0.3808580877620572,0.19477935002807134,0.17557024800764548,0.1652689321342916,0.9620689966155886,1.9811591060753364,0.35996351967977513,-0.16715051550788695
8,Chelsea,8,6,2026-09-18 19:00:00+00:00,0.51,0.85,0.56,2.176,False,94.0,0,0,0.0,3.0,0.0,0.0,89.0,0.0,85.0,2.0,0.0,0.85,2.65,0.0,3.0,0.2963436162926705,0.994540866671436,0.5375476201171974,0.4,1.8,1.3777777777777775,1.5399999999999998,3.0,2.0,2.0,1.7733333333333334,2.65,1.6175,1.4783333333333335,1.538333333333333,0.85,1.1775,1.4866666666666668,1.7073333333333334,40.0,92.5,114.11111111111111,124.26666666666668,40.0,105.25,110.27777777777776,128.8,1.4603166666666665,1.57115,1.406320792071385,1.415484242132937,1.5763002323388713,1.3493882123424967,1.4758135894358972,1.4767931136188586,1.135,3.3051568832648384,43.9,69.67773428858669,1.0659999999999998,71.40176385540389,40.8,2.932607156758705,0.0062231090845409,0.0092069727730464,1.545085728405904,1.435390094165918,-0.0003657060775322,0.0101626824087743,1018.261045595198,0.0979506032104444,-0.0752352919050169,2,0.9387347638603688,1.8542088744588736,1.4555313306808135,1.3482138537735835,2.002453659137577,1.0562384415584425,1.3620084403183024,1.5226483811320757,2026-09-18,0.1142167971967386,0.36630387886941596,0.2716854809252435,0.22634589379265874,0.12977314345806978,1.6261112363192651,1.654368884029747,0.4160086878449436,-0.17773701044744228
9,Brentford,94,4,2026-09-18 19:00:00+00:00,2.34,2.9,1.11,0.5312,True,8.0,1,2,0.0,2.0,0.0,0.0,85.0,0.0,89.0,3.0,0.0,2.9,0.83,3.0,0.0,0.1449703415843942,0.7525800651443632,0.2545554162315769,3.0,1.6749999999999998,1.5,1.5333333333333334,0.4,1.35,1.3555555555555554,1.3333333333333333,0.83,1.7575,1.391111111111111,1.503,2.9,1.735,1.708888888888889,1.64,40.0,113.0,124.77777777777776,123.66666666666669,40.0,129.375,125.77777777777776,134.83333333333334,1.5490666666666666,1.4252166666666666,1.2485377291385524,1.4274562063627396,1.6833944980278366,1.28251848673691,1.5075163901249304,1.3901020066082457,1.147,3.3316460715665346,42.425,81.58052148900393,1.288,83.93993432526193,46.510000000000005,2.531188669480158,-0.0032600529966173,-0.015740852885875,1.57660719979066,1.360644277822502,-0.0055619252624816,-0.0128461373294977,1042.0130353563752,-0.0493599364036252,0.0411591209802996,2,0.9350238911704304,1.8542088744588736,1.3355626613616267,1.7875,2.131529268993839,1.0562384415584425,1.539516880636605,1.03235,2026-09-18,0.1142167971967386,0.36630387886941596,0.2716854809252435,0.22634589379265874,0.12977314345806978,1.6230410874783323,1.5696466237691755,0.8591537799540676,-0.5677869034101994
