fpl_name,fpl_web_name,understat_player_name,match_score,matched_on,player_name,Matched_Pos_List,Matched_Pos_Pct_List,Test
Tijjani_Reijnders,Reijnders,Tijjani Reijnders,100.0,name-strict,Tijjani Reijnders,"['MC', 'FW', 'DM', 'LW']","[0.4, 0.2, 0.2, 0.2]",1
Nico_González Iglesias,N.Gonzalez,Nico González,90.0,name-relaxed,Nico González,"['DM', 'MC']","[0.5, 0.5]",1
Mateo_Kovačić,Kovačić,Mateo Kovacic,100.0,name-strict,Mateo Kovacic,"['DM', 'MC']","[0.8, 0.2]",1
Claudio_Echeverri,Echeverri,Claudio Echeverri,100.0,name-strict,Claudio Echeverri,['SUB'],[1.0],1
Kalvin_Phillips,Phillips,Kalvin Phillips,100.0,name-strict,Kalvin Phillips,['DM'],[1.0],1
Divine_Mukasa,Mukasa,Divine Mukasa,100.0,name-strict,Divine Mukasa,['SUB'],[1.0],1
Jeremy_Monga,Monga,Jeremy Monga,100.0,name-strict,Jeremy Monga,['SUB'],[1.0],1
Erling_Haaland,Haaland,Erling Haaland,100.0,name-strict,Erling Haaland,['FW'],[1.0],1
Elliot_Anderson,Anderson,Elliot Anderson,100.0,name-strict,Elliot Anderson,"['MC', 'DM']","[0.2, 0.8]",1
Youri_Tielemans,Tielemans,Youri Tielemans,100.0,name-strict,Youri Tielemans,['DM'],[1.0],1
Andrey_Nascimento dos Santos,Andrey Santos,André,90.0,name-relaxed,André,"['MC', 'DM']","[0.9, 0.1]",1
Karl_Darlow,Darlow,Karl Darlow,100.0,name-strict,Karl Darlow,['GK'],[1.0],1
Senne_Lammens,Lammens,Senne Lammens,100.0,name-strict,Senne Lammens,['GK'],[1.0],1
Altay_Bayındır,Bayindir,Altay Bayindir,90.0,web_name-relaxed,Altay Bayindir,['GK'],[1.0],1
Tom_Heaton,Heaton,Unknown for understat,,no-match,,['SUB'],[1.0],1
Patrick_Dorgu,Dorgu,Patrick Dorgu,100.0,name-strict,Patrick Dorgu,"['LW', 'AMC', 'RW']","[0.7142857142857143, 0.14285714285714285, 0.14285714285714285]",1
Matthijs_de Ligt,De Ligt,Matthijs de Ligt,100.0,name-strict,Matthijs de Ligt,['CB'],[1.0],1
Diogo_Dalot Teixeira,Dalot,Diogo Dalot,90.0,name-relaxed,Diogo Dalot,['DR'],[1.0],1
Harry_Maguire,Maguire,Harry Maguire,100.0,name-strict,Harry Maguire,['CB'],[1.0],1
Lisandro_Martínez,Martinez,Lisandro Martínez,100.0,name-strict,Lisandro Martínez,['CB'],[1.0],1
Leny_Yoro,Yoro,Leny Yoro,100.0,name-strict,Leny Yoro,['CB'],[1.0],1
Ayden_Heaven,Heaven,Ayden Heaven,100.0,name-strict,Ayden Heaven,['CB'],[1.0],1
